job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,8,4
job_001,cluster_t4,8,4
job_002,cluster_g2,5,3
job_003,cluster_v100m32,14,2
job_004,cluster_v100m32,12,1
job_005,cluster_t4,8,4
job_006,cluster_g2,6,3
job_007,cluster_t4,12,2
job_008,cluster_g2,6,4
job_009,cluster_p100,1,1
job_010,cluster_v100m32,14,1
job_011,cluster_t4,2,4
job_012,cluster_g2,0,2
job_013,cluster_g2,2,3
job_014,cluster_t4,9,3
job_015,cluster_v100m32,1,3
job_016,cluster_g2,14,2
job_017,cluster_p100,5,3
job_018,cluster_v100m32,4,3
job_019,cluster_v100m32,7,1
job_020,cluster_g2,5,1
job_021,cluster_g2,3,3
job_022,cluster_g2,1,4
job_023,cluster_g2,1,1
job_024,cluster_g2,9,4
job_025,cluster_g2,12,2
job_026,cluster_g2,2,3
job_027,cluster_t4,0,2
job_028,cluster_p100,8,4
job_029,cluster_p100,12,4
job_030,cluster_p100,2,1
job_031,cluster_v100m32,13,1
job_032,cluster_v100m32,8,4
job_033,cluster_t4,5,2
job_034,cluster_g2,10,2
job_035,cluster_t4,2,3
job_036,cluster_t4,14,2
job_037,cluster_t4,7,1
job_038,cluster_t4,13,2
job_039,cluster_t4,10,3
job_040,cluster_v100m32,6,2
job_041,cluster_t4,5,2
job_042,cluster_p100,3,2
job_043,cluster_v100m32,0,4
job_044,cluster_p100,0,1
job_045,cluster_g2,9,1
job_046,cluster_v100m32,4,2
job_047,cluster_p100,13,3
job_048,cluster_v100m32,8,4
job_049,cluster_g2,13,1
job_050,cluster_g2,2,1
job_051,cluster_p100,11,1
job_052,cluster_g2,0,1
job_053,cluster_p100,3,2
job_054,cluster_t4,8,1
job_055,cluster_g2,1,1
job_056,cluster_g2,0,1
job_057,cluster_t4,6,1
job_058,cluster_p100,12,1
job_059,cluster_p100,2,1
