job_id,category,workload_family,assigned_cluster,cluster_role,cluster_gpu_type,start_hour,duration,power,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
synthetic_00027,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,1,3,0.00025,,1,24.2,91.0
synthetic_00037,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,1,1,0.00015,,1,3.152,5.46875
synthetic_00045,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,1,15,0.00035,,1,11.908,46.0
synthetic_00018,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,3,1,0.00035,,1,11.4,47.0
synthetic_00042,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,4,16,0.00025,,1,12.0,15.0
synthetic_00002,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,8,7,0.00025,,1,11.908,46.0
synthetic_00049,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,8,1,7e-05,T4,1,11.4,47.0
synthetic_00039,fine_tuning,fine_tuning,cluster_g2,alibaba_gpu_type_pool,G2,9,1,0.00035,G2,1,11.4,47.0
synthetic_00005,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,10,1,7e-05,T4,1,3.152,5.46875
synthetic_00007,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,10,4,0.00025,,1,8.0,29.8017578125
synthetic_00038,preprocessing,preprocessing,cluster_v100m32,alibaba_gpu_type_pool,V100M32,11,2,7e-05,,1,4.0,29.8017578125
synthetic_00017,preprocessing,preprocessing,cluster_v100m32,alibaba_gpu_type_pool,V100M32,15,1,0.00025,,1,4.0,29.8017578125
synthetic_00012,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,19,2,7e-05,T4,1,9.81,40.5859375
synthetic_00013,preprocessing,preprocessing,cluster_p100,alibaba_gpu_type_pool,P100,19,1,0.00015,,1,3.152,5.46875
synthetic_00031,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,19,14,7e-05,T4,1,16.0,64.0
synthetic_00015,preprocessing,preprocessing,cluster_p100,alibaba_gpu_type_pool,P100,28,1,0.00015,,1,9.81,40.5859375
synthetic_00048,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,28,2,7e-05,T4,1,11.908,46.0
synthetic_00010,preprocessing,preprocessing,cluster_v100m16,alibaba_gpu_type_pool,V100M16,29,4,7e-05,,1,18.708,63.0
synthetic_00008,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,30,6,0.00025,,1,4.0,14.900390625
synthetic_00028,fine_tuning,fine_tuning,cluster_g3,alibaba_gpu_type_pool,G3,30,1,0.00035,G3,1,11.908,46.0
synthetic_00023,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,31,1,0.00035,,1,18.708,63.0
synthetic_00025,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,32,2,7e-05,T4,1,3.152,5.46875
synthetic_00011,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,33,1,7e-05,T4,1,1.0,2.0
synthetic_00046,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,34,1,0.00015,,1,3.152,5.46875
synthetic_00006,fine_tuning,fine_tuning,cluster_g2,alibaba_gpu_type_pool,G2,46,2,0.00035,G2,1,18.708,63.0
synthetic_00022,fine_tuning,fine_tuning,cluster_g2,alibaba_gpu_type_pool,G2,47,1,0.00035,G2,1,11.3,48.0
synthetic_00036,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,47,2,0.00025,,1,16.0,32.0
synthetic_00004,preprocessing,preprocessing,cluster_v100m16,alibaba_gpu_type_pool,V100M16,48,1,0.00035,,1,18.708,63.0
synthetic_00029,fine_tuning,fine_tuning,cluster_t4,alibaba_gpu_type_pool,T4,50,1,7e-05,T4,1,11.908,46.0
synthetic_00030,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,55,1,0.00025,,1,11.908,46.0
synthetic_00047,preprocessing,preprocessing,cluster_p100,alibaba_gpu_type_pool,P100,57,4,7e-05,,1,11.4,47.0
synthetic_00050,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,57,5,0.00025,,1,15.2,79.0
synthetic_00033,preprocessing,preprocessing,cluster_p100,alibaba_gpu_type_pool,P100,58,1,0.00035,,1,12.0,15.0
synthetic_00044,preprocessing,preprocessing,cluster_v100m16,alibaba_gpu_type_pool,V100M16,59,5,7e-05,,1,4.0,29.8017578125
synthetic_00003,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,60,7,0.00015,,1,4.0,29.8017578125
synthetic_00016,preprocessing,preprocessing,cluster_t4,alibaba_gpu_type_pool,T4,61,1,0.00025,,1,3.152,5.46875
synthetic_00041,preprocessing,preprocessing,cluster_g2,alibaba_gpu_type_pool,G2,65,1,0.00025,,1,3.152,5.46875
synthetic_00043,preprocessing,preprocessing,cluster_v100m16,alibaba_gpu_type_pool,V100M16,68,1,0.00035,,1,11.4,47.0
synthetic_00001,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,74,1,0.00015,,1,3.152,5.46875
synthetic_00035,preprocessing,preprocessing,cluster_g3,alibaba_gpu_type_pool,G3,75,7,7e-05,,1,11.908,46.0
