job_id,assigned_cluster,start_hour,end_hour,start_slot,end_slot,duration,duration_h,power,gpus,gpu_count_required,gpu_type_required,cpu_required,memory_required_gb,slot_minutes
synthetic_00001,cluster_a10,76,77,76,77,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00002,cluster_p100,13,20,13,20,7,1.75,0.00025,1,1,,11.908,46.0,15
synthetic_00003,cluster_a10,67,74,67,74,7,1.75,0.00015,1,1,,4.0,29.8017578125,15
synthetic_00004,cluster_g2,49,50,49,50,1,0.25,0.00035,1,1,,18.708,63.0,15
synthetic_00005,cluster_t4,13,14,13,14,1,0.25,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00006,cluster_g2,48,50,48,50,2,0.5,0.00035,1,1,G2,18.708,63.0,15
synthetic_00007,cluster_v100m32,12,16,12,16,4,1.0,0.00025,1,1,,8.0,29.8017578125,15
synthetic_00008,cluster_v100m32,32,38,32,38,6,1.5,0.00025,1,1,,4.0,14.900390625,15
synthetic_00009,cluster_v100m16,85,86,85,86,1,0.25,0.00025,1,1,,18.708,63.0,15
synthetic_00010,cluster_t4,25,29,25,29,4,1.0,7e-05,1,1,,18.708,63.0,15
synthetic_00011,cluster_t4,41,42,41,42,1,0.25,7e-05,1,1,T4,1.0,2.0,15
synthetic_00012,cluster_t4,19,21,19,21,2,0.5,7e-05,1,1,T4,9.81,40.5859375,15
synthetic_00013,cluster_a10,16,17,16,17,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00014,cluster_g3,84,88,84,88,4,1.0,0.00035,1,1,,11.908,46.0,15
synthetic_00015,cluster_a10,29,30,29,30,1,0.25,0.00015,1,1,,9.81,40.5859375,15
synthetic_00016,cluster_v100m16,66,67,66,67,1,0.25,0.00025,1,1,,3.152,5.46875,15
synthetic_00017,cluster_v100m16,7,8,7,8,1,0.25,0.00025,1,1,,4.0,29.8017578125,15
synthetic_00018,cluster_g3,8,9,8,9,1,0.25,0.00035,1,1,,11.4,47.0,15
synthetic_00019,cluster_t4,80,81,80,81,1,0.25,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00020,cluster_v100m16,94,95,94,95,1,0.25,0.00025,1,1,,14.2,57.0,15
synthetic_00021,cluster_t4,82,84,82,84,2,0.5,7e-05,1,1,T4,14.2,57.0,15
synthetic_00022,cluster_g2,50,51,50,51,1,0.25,0.00035,1,1,G2,11.3,48.0,15
synthetic_00023,cluster_g3,28,29,28,29,1,0.25,0.00035,1,1,,18.708,63.0,15
synthetic_00024,cluster_t4,81,82,81,82,1,0.25,7e-05,1,1,T4,11.4,47.0,15
synthetic_00025,cluster_t4,24,26,24,26,2,0.5,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00026,cluster_p100,88,90,88,90,2,0.5,0.00025,1,1,G2|P100|T4|V100M16|V100M32,4.0,14.900390625,15
synthetic_00027,cluster_v100m32,3,6,3,6,3,0.75,0.00025,1,1,,24.2,91.0,15
synthetic_00028,cluster_g3,23,24,23,24,1,0.25,0.00035,1,1,G3,11.908,46.0,15
synthetic_00029,cluster_t4,52,53,52,53,1,0.25,7e-05,1,1,T4,11.908,46.0,15
synthetic_00030,cluster_v100m16,54,55,54,55,1,0.25,0.00025,1,1,,11.908,46.0,15
synthetic_00031,cluster_t4,14,28,14,28,14,3.5,7e-05,1,1,T4,16.0,64.0,15
synthetic_00032,cluster_t4,84,86,84,86,2,0.5,7e-05,1,1,,11.908,46.0,15
synthetic_00033,cluster_g3,61,62,61,62,1,0.25,0.00035,1,1,,12.0,15.0,15
synthetic_00034,cluster_t4,92,93,92,93,1,0.25,7e-05,1,1,T4,11.908,46.0,15
synthetic_00035,cluster_t4,78,85,78,85,7,1.75,7e-05,1,1,,11.908,46.0,15
synthetic_00036,cluster_p100,49,51,49,51,2,0.5,0.00025,1,1,,16.0,32.0,15
synthetic_00037,cluster_a10,3,4,3,4,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00038,cluster_t4,15,17,15,17,2,0.5,7e-05,1,1,,4.0,29.8017578125,15
synthetic_00039,cluster_g2,8,9,8,9,1,0.25,0.00035,1,1,G2,11.4,47.0,15
synthetic_00040,cluster_a10,87,88,87,88,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00041,cluster_p100,65,66,65,66,1,0.25,0.00025,1,1,,3.152,5.46875,15
synthetic_00042,cluster_v100m16,5,21,5,21,16,4.0,0.00025,1,1,,12.0,15.0,15
synthetic_00043,cluster_g2,73,74,73,74,1,0.25,0.00035,1,1,,11.4,47.0,15
synthetic_00044,cluster_t4,66,71,66,71,5,1.25,7e-05,1,1,,4.0,29.8017578125,15
synthetic_00045,cluster_g2,6,21,6,21,15,3.75,0.00035,1,1,,11.908,46.0,15
synthetic_00046,cluster_a10,37,38,37,38,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00047,cluster_t4,62,66,62,66,4,1.0,7e-05,1,1,,11.4,47.0,15
synthetic_00048,cluster_t4,28,30,28,30,2,0.5,7e-05,1,1,T4,11.908,46.0,15
synthetic_00049,cluster_t4,12,13,12,13,1,0.25,7e-05,1,1,T4,11.4,47.0,15
synthetic_00050,cluster_p100,61,66,61,66,5,1.25,0.00025,1,1,,15.2,79.0,15
