job_id,hidden_cluster,hidden_start,duration
job_000,cluster_t4,3,1
job_001,cluster_g2,7,3
job_002,cluster_v100m32,6,2
job_003,cluster_v100m32,9,3
job_004,cluster_g2,10,1
job_005,cluster_g2,12,2
job_006,cluster_g2,0,4
job_007,cluster_t4,10,3
job_008,cluster_v100m32,11,1
job_009,cluster_t4,0,1
job_010,cluster_v100m32,3,2
job_011,cluster_v100m32,13,3
job_012,cluster_v100m32,8,1
job_013,cluster_g2,14,1
job_014,cluster_v100m32,0,3
job_015,cluster_g2,1,3
job_016,cluster_g2,5,2
job_017,cluster_t4,10,3
job_018,cluster_g2,0,1
job_019,cluster_p100,4,3
job_020,cluster_t4,14,2
job_021,cluster_g2,15,1
job_022,cluster_g2,8,2
job_023,cluster_p100,7,4
job_024,cluster_t4,10,1
job_025,cluster_p100,0,2
job_026,cluster_p100,12,3
job_027,cluster_g2,4,4
job_028,cluster_p100,2,2
job_029,cluster_p100,11,1
job_030,cluster_t4,5,3
job_031,cluster_v100m32,8,1
job_032,cluster_g2,10,1
job_033,cluster_v100m32,1,1
job_034,cluster_t4,13,2
job_035,cluster_t4,8,2
job_036,cluster_g2,7,1
job_037,cluster_p100,4,1
job_038,cluster_t4,4,3
job_039,cluster_t4,1,2
job_040,cluster_p100,13,2
job_041,cluster_v100m32,5,1
job_042,cluster_v100m32,12,1
job_043,cluster_g2,14,2
job_044,cluster_t4,0,2
job_045,cluster_g2,4,1
job_046,cluster_t4,12,2
