job_id,category,workload_family,duration,power,earliest_start,latest_start,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
job_000,gpu_unrestricted,combinatorial_difficulty,1,0.00022965145856989767,2,11,,1,8.3504519675446,43.92786027444552
job_001,gpu_unrestricted,combinatorial_difficulty,3,0.00036328086998685714,5,8,,1,6.725361044691944,56.907915679339695
job_002,gpu_restricted,combinatorial_difficulty,2,0.0002614589936706957,4,10,V100M32,1,9.151686146976667,48.89150545340337
job_003,gpu_restricted,combinatorial_difficulty,3,0.00022792011480344054,5,10,V100M32,1,7.66595853586457,44.812397784672996
job_004,gpu_unrestricted,combinatorial_difficulty,1,0.0004942308135658536,3,12,,2,18.850613270909783,81.83559117898832
job_005,gpu_unrestricted,combinatorial_difficulty,2,0.0010402766695511642,3,12,,3,28.246508772849833,158.43748498514097
job_006,gpu_unrestricted,combinatorial_difficulty,4,0.00047113567995252156,0,6,,2,18.909123984937928,114.72950250919786
job_007,gpu_restricted,combinatorial_difficulty,3,0.0001391918332702154,4,10,T4,2,15.52724531759239,102.80717151762342
job_008,gpu_restricted,combinatorial_difficulty,1,0.000254742327539186,3,12,V100M32,1,7.046541181835517,38.46860372148658
job_009,gpu_restricted,combinatorial_difficulty,1,7.688954514664807e-05,0,11,T4,1,7.4964248200334715,47.42764467138518
job_010,gpu_unrestricted,combinatorial_difficulty,2,0.0002446281891581955,3,9,,1,9.462853010991548,49.157060411780876
job_011,gpu_unrestricted,combinatorial_difficulty,3,0.00033582877278313814,5,13,,1,7.374366458375732,53.15631277124292
job_012,gpu_restricted,combinatorial_difficulty,1,0.0002526575721339359,4,11,V100M32,1,7.67076514907488,53.75143375938724
job_013,gpu_unrestricted,combinatorial_difficulty,1,0.0007522918752029033,3,14,,3,21.818607801447214,120.7307552606736
job_014,gpu_restricted,combinatorial_difficulty,3,0.0002749897124015211,0,7,V100M32,1,8.647320898505493,47.47945322744175
job_015,gpu_restricted,combinatorial_difficulty,3,0.0003273591864587413,1,7,G2,1,8.512792283415347,48.52150016907392
job_016,gpu_unrestricted,combinatorial_difficulty,2,0.0011182265022848057,5,9,,3,20.287426387234646,139.11913511877555
job_017,gpu_restricted,combinatorial_difficulty,3,6.62833423578508e-05,3,11,T4,1,6.899293403920632,45.650139738566175
job_018,gpu_restricted,combinatorial_difficulty,1,0.0003746957441325492,0,11,G2,1,8.487086821164876,50.30673934195511
job_019,gpu_unrestricted,combinatorial_difficulty,3,7.214388378058272e-05,4,9,,1,7.497944662359215,54.23201856101914
job_020,gpu_unrestricted,combinatorial_difficulty,2,6.732415419739962e-05,4,14,,1,8.533325580487165,40.815966965064646
job_021,gpu_unrestricted,combinatorial_difficulty,1,0.0005037102819719269,4,15,,2,16.926608481309852,85.73721110628607
job_022,gpu_unrestricted,combinatorial_difficulty,2,0.00047811830255192793,4,9,,2,13.520522292693066,95.07687368605554
job_023,gpu_unrestricted,combinatorial_difficulty,4,0.0003280360798908304,4,7,,1,8.19121917345401,53.59909304382081
job_024,gpu_restricted,combinatorial_difficulty,1,6.858803271503863e-05,5,12,T4,1,9.308011401200204,42.5482119084566
job_025,gpu_unrestricted,combinatorial_difficulty,2,0.00022765628095021623,0,10,,1,8.017985389994488,56.36160414366919
job_026,gpu_restricted,combinatorial_difficulty,3,0.00026757228932868074,4,12,P100,1,7.63277007897428,44.73202878695963
job_027,gpu_unrestricted,combinatorial_difficulty,4,6.379524833951056e-05,4,7,,1,8.924908859860137,47.78414852624309
job_028,gpu_restricted,combinatorial_difficulty,2,0.0002501087533392627,1,9,P100,1,9.183078842001983,39.83054472820287
job_029,gpu_restricted,combinatorial_difficulty,1,0.00024724561947443854,5,12,P100,1,7.9800039185955844,53.653119969088436
job_030,gpu_restricted,combinatorial_difficulty,3,7.569216977160363e-05,5,9,T4,1,8.56457318499552,46.33203403373121
job_031,gpu_unrestricted,combinatorial_difficulty,1,6.804651588523105e-05,4,10,,1,6.6724339727842565,39.60110526604349
job_032,gpu_restricted,combinatorial_difficulty,1,0.0003361282419423671,4,11,G2,1,7.194543991665653,50.03015350137008
job_033,gpu_unrestricted,combinatorial_difficulty,1,6.792614875810092e-05,1,10,,1,7.223444849599151,44.72673963427374
job_034,gpu_unrestricted,combinatorial_difficulty,2,0.00014979365693146738,3,14,,2,13.310695121520256,96.07565160843134
job_035,gpu_unrestricted,combinatorial_difficulty,2,0.0002643854322585651,4,10,,1,7.395761288712194,43.41991318788477
job_036,gpu_unrestricted,combinatorial_difficulty,1,7.415656193398433e-05,5,9,,1,7.542351292891034,44.194127026592454
job_037,gpu_restricted,combinatorial_difficulty,1,0.0002593575524235555,2,11,P100,1,7.625850856834396,40.77359046156232
job_038,gpu_unrestricted,combinatorial_difficulty,3,6.659997907837013e-05,4,8,,1,7.136166033520887,56.799601568643304
job_039,gpu_restricted,combinatorial_difficulty,2,7.621491441255381e-05,1,10,T4,1,8.930267764480886,47.94251148971852
job_040,gpu_unrestricted,combinatorial_difficulty,2,7.273806342381548e-05,4,13,,1,7.31339236253622,42.777435155723566
job_041,gpu_unrestricted,combinatorial_difficulty,1,0.00032259970712669874,5,11,,1,6.507805709074175,42.07700188993913
job_042,gpu_restricted,combinatorial_difficulty,1,0.00024077630213208975,4,13,V100M32,1,9.209160014285526,56.23848889171313
job_043,gpu_unrestricted,combinatorial_difficulty,2,0.0002382995780794099,5,14,,1,6.522263116608584,52.300375388792204
job_044,gpu_restricted,combinatorial_difficulty,2,6.89798889838037e-05,0,10,T4,1,8.584317153673211,46.888449475566965
job_045,gpu_unrestricted,combinatorial_difficulty,1,0.00024535200251738615,4,9,,1,9.001313337013244,41.50585586881924
job_046,gpu_unrestricted,combinatorial_difficulty,2,6.912819761972333e-05,8,12,,1,9.001471480710592,39.664975941442975
