job_id,hidden_cluster,hidden_start,duration
job_000,cluster_v100m32,9,3
job_001,cluster_t4,11,2
job_002,cluster_g2,12,2
job_003,cluster_t4,13,2
job_004,cluster_g2,14,1
job_005,cluster_v100m32,0,2
job_006,cluster_g2,0,2
job_007,cluster_g2,2,2
job_008,cluster_g2,3,1
job_009,cluster_v100m32,3,2
job_010,cluster_p100,0,3
job_011,cluster_p100,10,1
job_012,cluster_g2,15,1
job_013,cluster_v100m32,6,2
job_014,cluster_g2,1,2
job_015,cluster_g2,10,4
job_016,cluster_g2,6,2
job_017,cluster_t4,5,4
job_018,cluster_t4,14,2
job_019,cluster_g2,9,2
job_020,cluster_v100m32,12,4
job_021,cluster_p100,12,1
job_022,cluster_t4,3,2
job_023,cluster_g2,12,2
job_024,cluster_g2,8,2
job_025,cluster_p100,14,2
job_026,cluster_g2,5,2
job_027,cluster_g2,3,3
job_028,cluster_p100,7,4
job_029,cluster_t4,10,3
job_030,cluster_t4,9,2
job_031,cluster_g2,6,3
job_032,cluster_g2,10,2
job_033,cluster_t4,1,2
job_034,cluster_g2,4,2
job_035,cluster_p100,3,3
job_036,cluster_t4,0,1
job_037,cluster_g2,0,3
job_038,cluster_g2,14,2
job_039,cluster_v100m32,3,2
job_040,cluster_v100m32,0,1
job_041,cluster_p100,11,3
job_042,cluster_v100m32,1,2
