job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,8,1
job_001,cluster_g2,6,2
job_002,cluster_p100,1,3
job_003,cluster_v100m32,3,4
job_004,cluster_v100m32,12,4
job_005,cluster_p100,8,2
job_006,cluster_g2,3,2
job_007,cluster_g2,11,3
job_008,cluster_g2,1,2
job_009,cluster_t4,4,4
job_010,cluster_t4,0,4
job_011,cluster_g2,6,4
job_012,cluster_g2,5,1
job_013,cluster_v100m32,7,3
job_014,cluster_p100,13,2
job_015,cluster_g2,8,2
job_016,cluster_t4,9,1
job_017,cluster_g2,0,3
job_018,cluster_g2,9,3
job_019,cluster_g2,12,3
job_020,cluster_g2,5,1
job_021,cluster_p100,6,3
job_022,cluster_p100,4,2
job_023,cluster_g2,13,1
job_024,cluster_p100,10,3
job_025,cluster_p100,6,2
job_026,cluster_v100m32,10,2
job_027,cluster_g2,0,1
job_028,cluster_t4,13,3
job_029,cluster_g2,14,2
job_030,cluster_g2,14,2
job_031,cluster_t4,10,3
job_032,cluster_v100m32,1,2
job_033,cluster_t4,8,2
job_034,cluster_t4,0,4
job_035,cluster_t4,0,3
job_036,cluster_g2,11,1
job_037,cluster_p100,0,4
job_038,cluster_g2,15,1
job_039,cluster_v100m32,0,1
job_040,cluster_p100,15,1
job_041,cluster_g2,10,1
job_042,cluster_p100,10,3
job_043,cluster_t4,9,1
job_044,cluster_v100m32,10,1
job_045,cluster_t4,8,2
job_046,cluster_p100,13,3
job_047,cluster_v100m32,1,2
job_048,cluster_v100m32,11,4
job_049,cluster_p100,0,1
job_050,cluster_v100m32,4,3
job_051,cluster_g2,12,1
job_052,cluster_p100,9,1
job_053,cluster_v100m32,8,1
job_054,cluster_g2,0,3
job_055,cluster_t4,8,1
job_056,cluster_t4,3,1
job_057,cluster_t4,3,1
job_058,cluster_v100m32,9,1
