scenario_id,seed,target_gpu_utilization,cheap_block_pressure,cheap_window_share,restricted_gpu_share,multi_gpu_share,window_min,window_max,cheap_block_start,cheap_block_length,max_jobs,price_contrast,contracted_power_ratio,cpu_per_gpu,memory_gb_per_gpu,cpu_jitter,memory_jitter,power_jitter,num_jobs,job_gpu_slots,global_gpu_slot_utilization,cheap_block_pressure_actual,global_utilization_target_met,cheap_pressure_target_met,restricted_gpu_share_actual,multi_gpu_share_actual,mean_duration_slots,median_window_width_slots,mean_window_width_slots,assignment_density_proxy,status,gurobi_status,classification,build_s,runtime_s,first_solution_s,mip_gap,objective,best_bound,num_vars,num_constraints,assignment_vars,cheap_block_gpu_utilization,renewable_cost,grid_cost,energy_cost,peak_load,peak_grid_import,contracted_power,peak_over_contracted,peak_cost,total_cost,pue,pue_min,pue_max,baseline_energy_mwh,flexible_energy_mwh,it_energy_mwh,total_energy_mwh,renewable_available_mwh,renewable_energy_mwh,renewable_curtailment_mwh,grid_energy_mwh,battery_charge_mwh,battery_discharge_mwh,max_power_utilization,mean_power_utilization,max_gpu_utilization,mean_gpu_utilization,max_cpu_utilization,mean_cpu_utilization,max_memory_utilization,mean_memory_utilization
0,101,0.6,1.1,0.75,0.25,0.2,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,43,116.0,0.6041666666666666,1.9333333333333333,True,True,0.23255813953488372,0.13953488372093023,2.255813953488372,9.0,8.372093023255815,423.0,solved_or_feasible,optimal,easy_or_medium,0.03255605697631836,2.7178778648376465,0.0734548568725586,0.009981139070772062,0.521558746575089,0.5163529961919455,1155,348,1121,0.9333333333333333,0.092862,0.428696746575089,0.521558746575089,0.0031535112725817834,0.0022363858417359665,0.0022511999999999996,0.0,0.0,0.521558746575089,1.2,1.2,1.2,0.0,0.006315125599770189,0.006315125599770189,0.007578150719724227,0.0026532,0.0026531999999999997,6.776263578034403e-19,0.004924950719724227,0.0,0.0,0.9966401357932402,0.549774490277599,1.0,0.59765625,0.9878693149318858,0.5778108706790339,0.9917115279066433,0.589214579192454
0,102,0.6,1.1,0.75,0.25,0.2,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,47,116.0,0.6041666666666666,1.8666666666666667,True,True,0.19148936170212766,0.14893617021276595,2.148936170212766,7.0,7.808510638297872,431.0,solved_or_feasible,optimal,easy_or_medium,0.0183260440826416,0.9133589267730713,0.09747505187988281,0.007829284680830502,0.6407013413672136,0.6356851081702597,1191,352,1157,0.7833333333333333,0.09286199999999999,0.5478393413672136,0.6407013413672136,0.0031082402256293576,0.002208271355266572,0.0022511999999999996,0.0,0.0,0.6407013413672136,1.2,1.2,1.2,0.0,0.00722457683483109,0.00722457683483109,0.008669492201797307,0.0026532,0.0026531999999999997,9.215718466126788e-19,0.006016292201797307,0.0,0.0,0.9988058494665751,0.6692901678800447,1.0,0.625,0.9938015306771149,0.6179076491606776,0.9994525601153442,0.6250412372486002
0,103,0.6,1.1,0.75,0.25,0.2,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,45,116.0,0.6041666666666666,1.9333333333333333,True,True,0.24444444444444444,0.13333333333333333,2.2888888888888888,8.0,8.088888888888889,430.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.01862192153930664,3.2243289947509766,0.10081315040588379,0.009177207432684166,0.5572619543084734,0.5521478457594415,1173,350,1139,0.95,0.092862,0.46439995430847325,0.5572619543084733,0.0031835096531436288,0.002242366178168871,0.0022511999999999996,0.0,0.0,0.5572619543084733,1.2,1.2,1.2,0.0,0.0066643815048224204,0.0066643815048224204,0.007997257805786905,0.0026532,0.0026532,2.168404344971009e-19,0.005344057805786905,0.0,0.0,0.9970228583736905,0.6144409549411736,1.0,0.59375,0.9942185389181865,0.6002100714610937,0.9990044637516453,0.5848458593538377
0,104,0.6,1.1,0.75,0.25,0.2,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,43,117.0,0.609375,1.8833333333333333,True,True,0.27906976744186046,0.11627906976744186,2.2093023255813953,8.0,8.279069767441861,432.0,solved_or_feasible,optimal,easy_or_medium,0.016419649124145508,0.8134181499481201,0.07407307624816895,0.009808416996305231,0.4894766465968857,0.48467565553711034,1067,348,1033,0.9333333333333333,0.092862,0.39661464659688583,0.48947664659688583,0.0029977841699219856,0.001850991280820892,0.0022511999999999996,0.0,0.0,0.48947664659688583,1.2,1.2,1.2,0.0,0.0060310141315768695,0.0060310141315768695,0.007237216957892242,0.0026532,0.0026532,3.5236570605778894e-19,0.004584016957892243,0.0,0.0,0.9952235051618223,0.5233056799162602,1.0,0.5859375,0.9989155079192169,0.5840774124026438,0.9963246077664696,0.5716400160512444
0,105,0.6,1.1,0.75,0.25,0.2,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,42,117.0,0.609375,1.9333333333333333,True,True,0.19047619047619047,0.21428571428571427,2.2142857142857144,8.0,7.928571428571429,430.0,solved_or_feasible,optimal,optimization_hard_runtime,0.017108917236328125,11.80144190788269,0.07214188575744629,0.009950624847337787,0.5149390214526692,0.5098150564309385,1116,347,1082,0.9,0.09286200000000003,0.4220770214526691,0.5149390214526691,0.0031703325774310367,0.0019362906986959828,0.0022511999999999996,0.0,0.0,0.5149390214526691,1.2,1.2,1.2,0.0,0.006337727603277825,0.006337727603277825,0.007605273123933391,0.0026532,0.0026532,2.710505431213761e-20,0.004952073123933389,0.0,0.0,1.0031349243242005,0.6149988579454411,1.0,0.62109375,0.9973176316039938,0.6115182889835804,0.9970535611599497,0.6119480307209404
1,1101,0.6,1.1,0.75,0.25,0.45,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,37,117.0,0.609375,1.9333333333333333,True,True,0.24324324324324326,0.2702702702702703,2.27027027027027,8.0,7.891891891891892,398.0,solved_or_feasible,optimal,easy_or_medium,0.014342784881591797,0.49479198455810547,0.06391096115112305,0.005347773105193703,0.43399170512143664,0.43167081595291107,887,342,853,0.9,0.09286200000000001,0.34112970512143664,0.43399170512143664,0.002876063743256191,0.0017556703515442776,0.0022511999999999996,0.0,0.0,0.43399170512143664,1.2,1.2,1.2,0.0,0.005416823316166936,0.005416823316166936,0.006500187979400323,0.0026532,0.0026532,2.168404344971009e-19,0.003846987979400322,0.0,0.0,0.9965738959050714,0.5218545258486682,1.0,0.58984375,0.9976871212525071,0.5959765573782597,0.9998528286509952,0.5793185305054634
1,1102,0.6,1.1,0.75,0.25,0.45,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,40,118.0,0.6145833333333334,1.9333333333333333,True,True,0.15,0.4,2.075,8.0,7.925,456.0,solved_or_feasible,optimal,easy_or_medium,0.028242111206054688,0.22142815589904785,0.03386807441711426,0.008565204534707016,0.5278585092201712,0.5233372931233149,995,345,961,0.8666666666666667,0.09286200000000001,0.4349965092201712,0.5278585092201712,0.0030823576207844997,0.0021109173537743196,0.0022511999999999996,0.0,0.0,0.5278585092201712,1.2,1.2,1.2,0.0,0.006156582288185252,0.006156582288185252,0.0073878987458223045,0.0026532,0.0026532,8.131516293641283e-20,0.004734698745822303,0.0,0.0,0.9998330079549369,0.562830911936848,1.0,0.58984375,0.993652888926676,0.586335574865269,0.9950544409750751,0.5648290075538069
1,1103,0.6,1.1,0.75,0.25,0.45,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,43,118.0,0.6145833333333334,1.9,True,True,0.16279069767441862,0.32558139534883723,2.0930232558139537,8.0,8.418604651162791,490.0,solved_or_feasible,optimal,easy_or_medium,0.017668962478637695,0.7903809547424316,0.0887148380279541,0.009973176703020404,0.5110413292567529,0.5059446237775289,1169,348,1135,0.85,0.09286200000000003,0.4181793292567529,0.5110413292567529,0.0031712091611908492,0.0020430643836840076,0.0022511999999999996,0.0,0.0,0.5110413292567529,1.2,1.2,1.2,0.0,0.006253509015915324,0.006253509015915324,0.007504210819098388,0.0026532,0.0026532,1.0842021724855044e-19,0.004851010819098387,0.0,0.0,0.9974540908124128,0.6126339194121586,1.0,0.62890625,0.9954092650315056,0.611718518727272,0.9997903632812584,0.6111889353116791
1,1104,0.6,1.1,0.75,0.25,0.45,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,43,117.0,0.609375,1.9166666666666667,True,True,0.16279069767441862,0.18604651162790697,2.2093023255813953,8.0,8.0,413.0,solved_or_feasible,optimal,easy_or_medium,0.018035173416137695,1.4972169399261475,0.10066604614257812,0.009234037521211928,0.4960953948144131,0.4915144313245964,1185,348,1151,0.9666666666666667,0.0928619999999999,0.40323339481441317,0.49609539481441306,0.002915203992661292,0.002015266284627093,0.0022511999999999996,0.0,0.0,0.49609539481441306,1.2,1.2,1.2,0.0,0.006036416931560759,0.006036416931560759,0.007243700317872911,0.0026532,0.002653199999999997,3.0899761915836876e-18,0.00459050031787291,0.0,0.0,0.9967157466001146,0.5508939670658153,1.0,0.57421875,0.9968863457931292,0.563872958365224,0.9959960234917696,0.5768812407075877
1,1105,0.6,1.1,0.75,0.25,0.45,4,10,5,5,60,1.5,0.7,8.0,48.0,0.2,0.2,0.1,43,116.0,0.6041666666666666,1.8833333333333333,True,True,0.23255813953488372,0.20930232558139536,2.2093023255813953,9.0,8.69767441860465,463.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.01875615119934082,3.1246700286865234,0.07677483558654785,0.00955724657611154,0.4511243528939378,0.4468128462168417,1187,348,1153,0.8166666666666667,0.09286200000000001,0.3582623528939377,0.4511243528939377,0.0031395779108411436,0.0018858486584308319,0.0022511999999999996,0.0,0.0,0.4511243528939377,1.2,1.2,1.2,0.0,0.005808599227099445,0.005808599227099445,0.006970319072519334,0.0026532,0.0026532,2.0328790734103208e-19,0.004317119072519334,0.0,0.0,0.9938719517040796,0.5486662399867118,1.0,0.59375,0.9996498068106229,0.5830756936086742,0.9991930959051908,0.5886242808501255
