target_gpu_utilization,cheap_block_pressure,restricted_gpu_share,multi_gpu_share,runs,solved_runs,median_num_jobs,median_assignment_vars,median_runtime_s,p90_runtime_s,median_mip_gap,median_first_solution_s,median_global_gpu_utilization,median_cheap_pressure,median_cheap_block_gpu_utilization,solve_rate
0.6,1.1,0.25,0.2,5,5,43.0,1121.0,2.7178778648376465,8.370596742630006,0.009808416996305231,0.07407307624816895,0.6041666666666666,1.9333333333333333,0.9333333333333333,1.0
0.6,1.1,0.25,0.45,5,5,43.0,1135.0,0.7903809547424316,2.4736887931823732,0.009234037521211928,0.07677483558654785,0.609375,1.9166666666666667,0.8666666666666667,1.0
0.6,1.1,0.5,0.2,5,5,43.0,941.0,1.0229542255401611,2.5138652324676514,0.009740320110563768,0.06765413284301758,0.609375,1.9166666666666667,0.9333333333333333,1.0
0.6,1.1,0.5,0.45,5,5,39.0,751.0,0.41808104515075684,0.7243308067321778,0.009059652348499576,0.06786298751831055,0.609375,1.9166666666666667,0.8,1.0
0.6,1.5,0.25,0.2,5,5,41.0,1058.0,0.8285877704620361,0.9119831562042237,0.00969636532423145,0.1073460578918457,0.609375,1.9,0.95,1.0
0.6,1.5,0.25,0.45,5,5,42.0,1077.0,0.5557539463043213,0.8980830669403077,0.009583965806040687,0.09618306159973145,0.6041666666666666,1.9333333333333333,0.8833333333333333,1.0
0.6,1.5,0.5,0.2,5,5,43.0,846.0,0.6672308444976807,1.0688608169555665,0.009542400456672423,0.09386396408081055,0.6041666666666666,1.9333333333333333,0.9,1.0
0.6,1.5,0.5,0.45,5,5,41.0,761.0,0.38923096656799316,0.6796576976776123,0.009604123213875833,0.08912515640258789,0.6041666666666666,1.9166666666666667,0.8833333333333333,1.0
0.6,1.9,0.25,0.2,5,5,41.0,1061.0,0.6543350219726562,2.9710897445678714,0.007287491243168162,0.11345911026000977,0.609375,1.95,0.9166666666666666,1.0
0.6,1.9,0.25,0.45,5,5,35.0,937.0,0.6577939987182617,1.5374308586120606,0.009764876402055147,0.08235001564025879,0.6041666666666666,1.9333333333333333,0.9,1.0
0.6,1.9,0.5,0.2,5,5,47.0,1019.0,1.5024619102478027,3.8439598083496094,0.00959345376835281,0.1106269359588623,0.6041666666666666,1.9333333333333333,0.9,1.0
0.6,1.9,0.5,0.45,5,5,38.0,708.0,0.646820068359375,1.1625659942626954,0.00925071920092661,0.10695004463195801,0.609375,1.95,0.8833333333333333,1.0
0.75,1.1,0.25,0.2,5,5,60.0,1587.0,3.4136080741882324,22.523850774765016,0.009771967939401932,0.13366389274597168,0.7135416666666666,2.2,0.8833333333333333,1.0
0.75,1.1,0.25,0.45,5,5,54.0,1349.0,5.209687948226929,8.078168392181396,0.008391530681434676,0.26424503326416016,0.7552083333333334,2.3833333333333333,0.9333333333333333,1.0
0.75,1.1,0.5,0.2,5,5,60.0,1201.0,3.0495481491088867,4.6568975925445555,0.009746146181046066,0.1655590534210205,0.7447916666666666,2.25,0.95,1.0
0.75,1.1,0.5,0.45,5,5,53.0,1123.0,1.681149959564209,13.459168243408204,0.009328340088007207,0.14769291877746582,0.7552083333333334,2.3833333333333333,0.9166666666666666,1.0
0.75,1.5,0.25,0.2,5,5,60.0,1500.0,2.6147470474243164,11.464473295211793,0.009506951683356902,0.14873218536376953,0.703125,2.25,0.95,1.0
0.75,1.5,0.25,0.45,5,5,52.0,1401.0,1.1652519702911377,1.5666261196136475,0.008588845564874907,0.21866512298583984,0.75,2.3666666666666667,0.8833333333333333,1.0
0.75,1.5,0.5,0.2,5,5,60.0,1353.0,2.02775502204895,5.263100957870484,0.008618015347699277,0.25627613067626953,0.7291666666666666,2.316666666666667,0.9166666666666666,1.0
0.75,1.5,0.5,0.45,5,5,52.0,1069.0,0.9586288928985596,2.389624834060669,0.008337658087324734,0.13535404205322266,0.75,2.3833333333333333,0.9,1.0
0.75,1.9,0.25,0.2,5,5,60.0,1497.0,5.080384969711304,13.556521129608155,0.008329225511549397,0.25296902656555176,0.734375,2.2666666666666666,0.9,1.0
0.75,1.9,0.25,0.45,5,5,51.0,1236.0,1.3956940174102783,7.580500078201294,0.008894292937519676,0.20586609840393066,0.75,2.3833333333333333,0.9666666666666667,1.0
0.75,1.9,0.5,0.2,5,5,59.0,1195.0,1.5840160846710205,2.0817360401153566,0.008174457484278216,0.1767280101776123,0.75,2.3333333333333335,0.95,1.0
0.75,1.9,0.5,0.45,5,5,53.0,1040.0,0.9453239440917969,6.2326322555542,0.007275333550873414,0.195267915725708,0.75,2.3666666666666667,0.9166666666666666,1.0
0.85,1.1,0.25,0.2,5,5,60.0,1543.0,5.8850178718566895,7.2245971202850345,0.009187097706674783,0.22493791580200195,0.7864583333333334,2.45,0.95,1.0
0.85,1.1,0.25,0.45,5,5,60.0,1521.0,3.2630090713500977,5.48393702507019,0.008674779082163797,0.19658803939819336,0.796875,2.433333333333333,0.9333333333333333,1.0
0.85,1.1,0.5,0.2,5,5,60.0,1245.0,3.8256309032440186,5.610501527786255,0.0083354205524635,0.1736750602722168,0.71875,2.25,1.0,1.0
0.85,1.1,0.5,0.45,5,5,60.0,1217.0,1.7212550640106201,34.096892786026004,0.009338364197813427,0.2113358974456787,0.7864583333333334,2.433333333333333,0.95,1.0
0.85,1.5,0.25,0.2,5,5,60.0,1539.0,6.072542190551758,17.672607374191287,0.009909239125520502,0.2341470718383789,0.7291666666666666,2.3,0.8833333333333333,1.0
0.85,1.5,0.25,0.45,5,5,60.0,1551.0,8.827460050582886,49.75334444046021,0.00854547347205172,0.2392871379852295,0.8333333333333334,2.6,0.9666666666666667,1.0
0.85,1.5,0.5,0.2,5,5,60.0,1388.0,4.564743995666504,11.086018800735474,0.007593001645678423,0.24935293197631836,0.7864583333333334,2.5166666666666666,0.9666666666666667,1.0
0.85,1.5,0.5,0.45,5,5,60.0,1244.0,4.59728217124939,39.56486501693726,0.009345829228358339,0.3247110843658447,0.7864583333333334,2.45,0.95,1.0
0.85,1.9,0.25,0.2,5,5,60.0,1673.0,2.330721139907837,4.56673903465271,0.006312033205772145,0.20766305923461914,0.71875,2.3,0.9333333333333333,1.0
0.85,1.9,0.25,0.45,5,5,60.0,1563.0,2.0007259845733643,11.840825080871582,0.00751858503478257,0.26526880264282227,0.796875,2.5166666666666666,0.9333333333333333,1.0
0.85,1.9,0.5,0.2,5,5,60.0,1255.0,14.619343996047974,42.96809883117676,0.009536249481320555,0.2577669620513916,0.7604166666666666,2.4166666666666665,0.9833333333333333,1.0
0.85,1.9,0.5,0.45,5,5,60.0,1389.0,5.279958009719849,14.123841047286987,0.009632087254400708,1.6085000038146973,0.7916666666666666,2.5166666666666666,0.9666666666666667,1.0
