job_id,hidden_cluster,hidden_start,duration
job_000,cluster_p100,11,3
job_001,cluster_g2,3,1
job_002,cluster_g2,7,4
job_003,cluster_t4,5,4
job_004,cluster_g2,5,2
job_005,cluster_t4,12,4
job_006,cluster_p100,3,2
job_007,cluster_p100,6,1
job_008,cluster_t4,9,3
job_009,cluster_g2,1,2
job_010,cluster_t4,0,3
job_011,cluster_p100,7,2
job_012,cluster_p100,0,3
job_013,cluster_t4,2,3
job_014,cluster_g2,4,2
job_015,cluster_g2,0,2
job_016,cluster_g2,6,2
job_017,cluster_v100m32,11,4
job_018,cluster_v100m32,3,1
job_019,cluster_g2,14,2
job_020,cluster_t4,9,3
job_021,cluster_g2,12,2
job_022,cluster_g2,9,1
job_023,cluster_v100m32,4,4
job_024,cluster_p100,5,1
job_025,cluster_p100,8,3
job_026,cluster_g2,11,1
job_027,cluster_v100m32,6,3
job_028,cluster_g2,14,2
job_029,cluster_g2,4,2
job_030,cluster_g2,8,3
job_031,cluster_g2,6,3
job_032,cluster_g2,6,2
job_033,cluster_g2,1,1
job_034,cluster_v100m32,8,1
job_035,cluster_v100m32,0,3
job_036,cluster_p100,15,1
job_037,cluster_g2,2,2
job_038,cluster_g2,9,2
job_039,cluster_t4,3,2
job_040,cluster_g2,0,1
job_041,cluster_v100m32,15,1
job_042,cluster_p100,14,1
job_043,cluster_t4,12,2
job_044,cluster_v100m32,10,1
job_045,cluster_t4,14,2
job_046,cluster_t4,2,2
job_047,cluster_p100,9,1
job_048,cluster_v100m32,9,1
job_049,cluster_g2,2,1
job_050,cluster_p100,14,2
