job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,0,3
job_001,cluster_p100,3,4
job_002,cluster_p100,9,2
job_003,cluster_g2,9,3
job_004,cluster_t4,9,2
job_005,cluster_p100,0,3
job_006,cluster_t4,1,3
job_007,cluster_p100,13,2
job_008,cluster_p100,7,1
job_009,cluster_g2,14,1
job_010,cluster_p100,11,2
job_011,cluster_p100,15,1
job_012,cluster_g2,6,3
job_013,cluster_t4,10,3
job_014,cluster_g2,9,3
job_015,cluster_g2,5,2
job_016,cluster_v100m32,1,2
job_017,cluster_g2,0,4
job_018,cluster_t4,5,2
job_019,cluster_t4,11,2
job_020,cluster_t4,13,3
job_021,cluster_v100m32,3,2
job_022,cluster_g2,12,4
job_023,cluster_p100,8,1
job_024,cluster_v100m32,5,4
job_025,cluster_t4,7,2
job_026,cluster_g2,4,2
job_027,cluster_g2,13,1
job_028,cluster_g2,7,3
job_029,cluster_g2,3,2
job_030,cluster_v100m32,11,4
job_031,cluster_g2,10,3
job_032,cluster_t4,4,3
job_033,cluster_v100m32,9,2
job_034,cluster_g2,15,1
job_035,cluster_v100m32,0,1
job_036,cluster_g2,12,1
job_037,cluster_t4,4,2
job_038,cluster_t4,9,1
job_039,cluster_t4,0,1
job_040,cluster_g2,5,1
job_041,cluster_v100m32,11,2
job_042,cluster_v100m32,15,1
job_043,cluster_t4,6,1
job_044,cluster_t4,4,1
job_045,cluster_g2,15,1
job_046,cluster_v100m32,13,2
job_047,cluster_v100m32,8,3
job_048,cluster_p100,7,1
job_049,cluster_p100,0,4
job_050,cluster_p100,6,1
job_051,cluster_g2,7,2
