job_id,category,workload_family,assigned_cluster,cluster_role,cluster_gpu_type,start_hour,duration,power,gpu_type_required,gpu_count_required,cpu_required,memory_required_gb
job_007,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,0,4,0.00025328981025901566,V100M32,1,7.091922016279702,48.689557840028634
job_017,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,0,3,6.585177403821257e-05,T4,1,7.349804112563608,48.108398212916825
job_021,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,0,4,0.00048684829362332207,,2,16.817474107121733,109.57597087234907
job_022,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,0,2,0.00034941764720038235,,1,9.438582000436341,44.85967508408902
job_034,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,0,3,7.659047985633732e-05,,1,9.516925993727178,57.20854732678788
job_044,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,0,2,7.486074291453792e-05,T4,1,9.180641296175432,50.71702928471879
job_051,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,0,1,0.000345627088907043,,1,7.7830314573584145,44.02548870642536
job_058,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,0,1,7.114981028680438e-05,,1,7.764045569147625,51.24417642819287
job_004,gpu_restricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,1,3,0.00025147497579248047,P100,1,8.093219996316629,39.1848528089324
job_043,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,1,3,6.59962128836705e-05,,1,7.361884764709267,40.420189663927886
job_016,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,2,1,0.00035362732488453656,G2,1,8.935267026652767,50.91946917344889
job_036,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,2,2,6.718819685391984e-05,T4,1,8.941467655583883,50.53247933386433
job_040,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,2,2,0.00024157518657514455,,1,8.647157920801979,45.797258248276954
job_003,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,3,3,6.538044565102724e-05,,1,8.530300584235931,56.380583640341314
job_009,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,3,4,0.00036703214374955934,,1,8.74026137275478,49.88096330456041
job_020,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,3,2,6.320381678352017e-05,T4,1,7.316362073293556,49.97699212878511
job_001,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,4,1,0.0003628143324102709,,1,8.118886842330367,57.357473608515754
job_019,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,4,2,0.0009995183194455419,,3,20.674967733156564,138.67175767952654
job_027,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,4,3,7.392707986758742e-05,T4,1,7.812017282090624,48.37413777426215
job_013,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,5,3,6.624312692561656e-05,,1,7.392761715746448,44.624654920120065
job_037,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,5,3,0.00023570538936736925,,1,7.515902857267,47.40460958769664
job_039,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,5,1,0.0004677919871892212,,2,13.976773785086454,85.05006068473007
job_041,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,5,1,0.0002458078956501434,V100M32,1,8.238065571520018,46.021580833900465
job_059,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,5,1,6.525393237263955e-05,T4,1,7.830819147339936,41.99092498768848
job_006,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,6,1,6.846596823748866e-05,T4,1,9.415783673488502,39.992327056892314
job_012,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,6,2,0.0004748854375585923,,2,17.823346808411422,114.22397688256453
job_014,gpu_restricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,6,2,0.00024905222262758535,P100,1,8.268079071207783,49.514846193820645
job_033,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,6,3,0.00022597929995488256,,1,7.636304827052113,39.49620680563521
job_038,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,6,3,6.512149370933406e-05,,1,6.931857055276408,57.126614338210175
job_047,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,6,1,0.00026043603607380227,,1,8.28790671778868,42.787038336203025
job_029,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,7,2,0.0003556586944008908,G2,1,6.983502348221045,41.08722281476898
job_046,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,7,1,7.05819539959626e-05,T4,1,8.037691303204314,43.96432481320558
job_055,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,7,1,0.00025504648185541693,,1,7.323680726445858,41.649281909513945
job_057,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,7,1,6.864567139531179e-05,T4,1,9.355211166174904,43.625739725423784
job_002,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,8,1,0.00025928365834995383,V100M32,1,6.725997572309856,48.052265144780435
job_005,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,8,1,0.00025189583107087344,,1,7.218931854100907,45.047939574473155
job_011,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,8,3,0.00033439254423063206,,1,6.843379477348364,41.83003548924078
job_026,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,8,2,0.00034642903668103585,,1,6.8782514305126305,41.90200198016995
job_035,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,8,2,0.00035432994976623345,,1,9.395418392273763,57.4270311402987
job_049,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,8,2,0.0002311084210994877,V100M32,1,7.350856056773293,40.52880876800636
job_056,gpu_restricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,8,1,0.0001448244221488364,T4,2,18.263235660689073,98.31902298871702
job_018,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,9,3,0.00037421587233103207,,1,7.037015074851597,53.07556381832454
job_025,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,9,3,0.00024179851804725182,,1,9.365257470132182,47.64719723287111
job_030,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,9,2,7.431679429890822e-05,,1,8.495224689303527,45.60633833446396
job_050,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,9,3,0.0003565786327127373,,1,7.187173836108663,39.13929941123281
job_052,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,9,2,7.091080129391986e-05,,1,8.371529032643668,42.56512478942651
job_008,gpu_unrestricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,10,2,7.517722574887066e-05,,1,6.510787637025041,48.40502885611953
job_048,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,10,1,0.00035750913918120714,G2,1,8.40682944393594,44.34628323902787
job_054,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,10,1,6.967655590160009e-05,,1,8.680838956630037,42.098624945955606
job_010,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,11,3,0.0009597135789094471,G2,3,23.725706083887,151.89252424376383
job_000,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,12,2,0.0002746088777588644,V100M32,1,9.336728234866966,46.0371656683444
job_015,gpu_restricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,12,3,0.00024039325857086184,P100,1,8.4655517290254,57.533524242868765
job_032,gpu_unrestricted,combinatorial_difficulty,cluster_t4,small_gpu_type_pool,T4,12,4,0.0002412880310911286,,1,9.289274529325038,39.625003925271
job_053,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,12,2,7.68842359575221e-05,,1,6.632872983332943,40.02881983464727
job_023,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,14,2,0.0002540959979549852,,1,8.45428087751619,38.93584090549043
job_024,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,14,2,6.326017854183624e-05,,1,8.227150716481855,43.83095517306406
job_028,gpu_unrestricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,14,2,0.00023158855918365654,,1,8.397562652659868,48.919095532743626
job_031,gpu_restricted,combinatorial_difficulty,cluster_v100m32,small_gpu_type_pool,V100M32,14,2,0.00026568277637261273,V100M32,1,9.476002872361402,39.70963824394006
job_045,gpu_restricted,combinatorial_difficulty,cluster_g2,small_gpu_type_pool,G2,14,2,0.0003707590861841371,G2,1,6.4881636412219015,51.387335703475294
job_042,gpu_unrestricted,combinatorial_difficulty,cluster_p100,small_gpu_type_pool,P100,15,1,0.00026615610083476277,,1,8.710624967626815,40.42586215911731
