run_name,num_jobs,seed,slot_minutes,horizon_hours,instance_dir,gpu_utilization_ratio,power_utilization_ratio,max_cluster_gpu_utilization,max_cluster_power_utilization,status_code,status,sol_count,runtime_s,wall_time_s,objective,best_bound,mip_gap,num_vars,num_bin_vars,num_constraints,assignment_vars,renewable_cost,grid_cost,energy_cost,peak_load,peak_grid_import,contracted_power,peak_over_contracted,peak_cost,total_cost,pue,pue_min,pue_max,baseline_energy_mwh,flexible_energy_mwh,it_energy_mwh,total_energy_mwh,renewable_available_mwh,renewable_energy_mwh,renewable_curtailment_mwh,grid_energy_mwh,battery_charge_mwh,battery_discharge_mwh,max_power_utilization,mean_power_utilization,max_gpu_utilization,mean_gpu_utilization,max_cpu_utilization,mean_cpu_utilization,max_memory_utilization,mean_memory_utilization
jobs_0010_seed_11,10,11,15,24,experiments/gurobi_generated_stress/jobs_0010_seed_11,5.7013307576733205e-05,3.951525578280724e-05,0.5,0.5,2,solved_or_feasible,2,0.0018830299377441406,0.09183258307166398,20.026950000000006,20.026950000000006,0.0,945,751,2987,751,5.5065599999999995,14.520389999999999,20.02695,0.0126,0.0126,10000.0,0.0,0.0,20.02695,1.1999999999999997,1.2,1.2,0.23999999999999996,0.0017749999999999999,0.24177499999999996,0.29013,0.611,0.13766399999999998,0.4733360000000001,0.152466,0.0,0.0,0.005128205128205128,0.00017423643146585464,0.005128205128205128,0.00019785013432484051,0.007642156862745097,0.0001599257636485826,0.007278481012658228,0.0001638993762089836
jobs_0025_seed_11,25,11,15,24,experiments/gurobi_generated_stress/jobs_0025_seed_11,9.222740931530371e-05,6.250089048463735e-05,0.5,0.5,2,solved_or_feasible,3,0.0033490657806396484,0.08402320905588567,20.11428000000001,20.11428000000001,0.0,1562,1368,3002,1368,5.52228,14.591999999999999,20.11428,0.012888000000000002,0.01272,10000.0,0.0,0.0,20.11428,1.1999999999999997,1.2,1.2,0.23999999999999996,0.0028075,0.24280749999999998,0.291369,0.611,0.13805699999999999,0.472943,0.153312,0.0,0.0,0.0068627450980392165,0.00018487549607457243,0.005128205128205128,0.00017777228153057002,0.01185551330798479,0.0001703532023955395,0.009968354430379746,0.00015549309248981755
jobs_0050_seed_11,50,11,15,24,experiments/gurobi_generated_stress/jobs_0050_seed_11,0.00024482185018244256,0.000158951507768588,0.5,0.5,2,solved_or_feasible,3,0.0044841766357421875,0.15806587494444102,20.437589999999993,20.437589999999993,0.0,2840,2646,3027,2646,5.5788,14.85879,20.43759,0.01344,0.01344,10000.0,0.0,0.0,20.43759,1.1999999999999997,1.2,1.2,0.23999999999999996,0.0071400000000000005,0.24713999999999997,0.29656800000000005,0.611,0.13946999999999998,0.47153,0.15709800000000002,0.0,0.0,0.011028164234815065,0.0004077713883533469,0.009615384615384616,0.00046430232051776455,0.01185551330798479,0.0003605677622813314,0.009968354430379746,0.0002589779667777464
jobs_0100_seed_11,100,11,15,24,experiments/gurobi_generated_stress/jobs_0100_seed_11,0.00041921549688774413,0.00028194969830380495,1.0,1.0,2,solved_or_feasible,3,0.01501011848449707,0.29927562503144145,20.87253000000001,20.87253000000001,0.0,5412,5218,3077,5218,5.712960000000001,15.15957,20.87253,0.014832000000000003,0.014124000000000001,10000.0,0.0,0.0,20.87253,1.1999999999999997,1.2,1.2,0.23999999999999996,0.012665,0.25266500000000003,0.3031980000000001,0.611,0.142824,0.46817600000000004,0.16037400000000002,0.0,0.0,0.014930437733288086,0.0008723854438317498,0.010256410256410256,0.0007415171340615345,0.019401774397972117,0.0005989208861018434,0.017246835443037976,0.00047418898107569373
jobs_0200_seed_11,200,11,15,24,experiments/gurobi_generated_stress/jobs_0200_seed_11,0.0008250160978750805,0.0005495403318301952,1.0,1.0,2,solved_or_feasible,2,0.016891002655029297,0.6124028749763966,21.69000000000001,21.49824002294779,0.008840939467598799,10502,10308,3177,10308,6.07992,15.61008,21.69,0.01917600000000002,0.015012,10000.0,0.0,0.0,21.69,1.1999999999999997,1.2,1.2,0.23999999999999996,0.024685,0.26468500000000006,0.31762200000000007,0.611,0.15199800000000002,0.459002,0.165624,0.0,0.0,0.019897435897435894,0.001967249578606349,0.02564102564102564,0.00196126649849361,0.02859188846641318,0.0015259919285466478,0.02821014017998418,0.0010089926283606456
jobs_0500_seed_11,500,11,15,24,experiments/gurobi_generated_stress/jobs_0500_seed_11,0.002007203799098519,0.0013986730888418716,1.0,1.0,2,solved_or_feasible,2,0.04808306694030762,1.490209124982357,24.360885000000003,24.360885000000003,0.0,27657,27463,3477,27463,7.20144,17.159444999999998,24.360884999999996,0.026916000000000048,0.017952,10000.0,0.0,0.0,24.360884999999996,1.1999999999999997,1.2,1.2,0.23999999999999996,0.06282750000000001,0.3028275000000001,0.3633930000000001,0.611,0.18003599999999997,0.430964,0.183357,0.0,0.0,0.04988123515439429,0.0041379612105754025,0.041025641025641026,0.0040604186548827935,0.05077186311787072,0.003040324169411949,0.05419087470332278,0.0022661338027216314
jobs_0800_seed_11,800,11,15,24,experiments/gurobi_generated_stress/jobs_0800_seed_11,0.003234666773985834,0.0022727950709894354,1.0,1.0,2,solved_or_feasible,2,0.09377908706665039,2.4478195830015466,27.296055000000003,27.292590023692775,0.00012694055266330921,43802,43608,3777,43608,8.19664,19.099414999999997,27.296054999999996,0.022164000000000017,0.021108000000000002,10000.0,0.0,0.0,27.296054999999996,1.1999999999999997,1.2,1.2,0.23999999999999996,0.1020925,0.34209250000000013,0.41051100000000024,0.611,0.204916,0.406084,0.205595,0.0,0.0,0.0350188679245283,0.004738176739912893,0.03773584905660377,0.004931779950453342,0.04300887198986058,0.0033727150560857377,0.03346024525316456,0.0023407840591765333
jobs_1000_seed_11,1000,11,15,24,experiments/gurobi_generated_stress/jobs_1000_seed_11,0.004012730736209487,0.00285083091121512,1.0,1.0,2,solved_or_feasible,2,0.1437230110168457,3.10075320804026,29.299229999999994,29.295630023692695,0.00012286931456216967,54765,54571,3977,54571,8.923479999999998,20.37575,29.299229999999998,0.024408000000000044,0.023592000000000002,10000.0,0.0,0.0,29.299229999999998,1.1999999999999997,1.2,1.2,0.23999999999999996,0.1280575,0.36805750000000015,0.44166900000000037,0.611,0.22308699999999998,0.38791299999999995,0.218582,0.0,0.0,0.05327451645741432,0.006215313599083457,0.06862745098039216,0.006013637569583803,0.04894281045751634,0.0036444999279355147,0.030854430379746837,0.0024454240886979065
jobs_5000_seed_11,5000,11,15,24,experiments/gurobi_generated_stress/jobs_5000_seed_11,0.020352073942906203,0.015284556592079675,1.0,1.0,2,solved_or_feasible,7,0.9795517921447754,18.109518375014886,72.19269000000006,72.19101502746102,2.3201414700511622e-05,271503,271309,7977,271309,22.011720000000004,50.18097000000007,72.19269000000008,0.08229599999999997,0.08229599999999997,10000.0,0.0,0.0,72.19269000000008,1.1999999999999997,1.2,1.2,0.23999999999999996,0.6865725000000007,0.9265725000000016,1.111887000000001,0.611,0.5502930000000001,0.06070699999999994,0.5615940000000008,0.0,0.0,0.5,0.015593589211051528,0.5,0.01730534353397522,0.06926996197718632,0.01086156927967876,0.07420886075949368,0.008650121597300746
jobs_10000_seed_11,10000,11,15,24,experiments/gurobi_generated_stress/jobs_10000_seed_11,0.04107305752307362,0.030701684084546176,1.0,1.0,2,solved_or_feasible,2,1.7369518280029297,41.650050499942154,140.15232000000003,140.15196002746478,2.568437934171251e-06,542355,542161,12977,542161,24.43968,115.71263999999998,140.15231999999997,0.1651439999999997,0.15699599999999972,10000.0,0.0,0.0,140.15231999999997,1.1999999999999997,1.2,1.2,0.23999999999999996,1.3791000000000033,1.6191000000000044,1.9429199999999995,0.611,0.610992,8.000000000063512e-06,1.3319279999999996,0.0,0.0,0.23333333333333334,0.029639822191687745,0.5,0.03312584966011026,0.13999493029150825,0.020822331677641352,0.12862935126582278,0.015942945854677093
