scenario_id,seed,target_gpu_utilization,cheap_block_pressure,cheap_window_share,restricted_gpu_share,multi_gpu_share,window_min,window_max,cheap_block_start,cheap_block_length,max_jobs,price_contrast,contracted_power_ratio,cpu_per_gpu,memory_gb_per_gpu,cpu_jitter,memory_jitter,power_jitter,num_jobs,job_gpu_slots,global_gpu_slot_utilization,cheap_block_pressure_actual,global_utilization_target_met,cheap_pressure_target_met,restricted_gpu_share_actual,multi_gpu_share_actual,mean_duration_slots,median_window_width_slots,mean_window_width_slots,assignment_density_proxy,status,gurobi_status,classification,build_s,runtime_s,first_solution_s,mip_gap,objective,best_bound,num_vars,num_constraints,assignment_vars,cheap_block_gpu_utilization,renewable_cost,grid_cost,energy_cost,peak_load,peak_grid_import,contracted_power,peak_over_contracted,peak_cost,total_cost,pue,pue_min,pue_max,baseline_energy_mwh,flexible_energy_mwh,it_energy_mwh,total_energy_mwh,renewable_available_mwh,renewable_energy_mwh,renewable_curtailment_mwh,grid_energy_mwh,battery_charge_mwh,battery_discharge_mwh,max_power_utilization,mean_power_utilization,max_gpu_utilization,mean_gpu_utilization,max_cpu_utilization,mean_cpu_utilization,max_memory_utilization,mean_memory_utilization,focused_id,time_limit_seconds,target_mip_gap
0,50001,0.8,1.4,0.75,0.25,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,64,149.0,0.7760416666666666,2.3833333333333333,False,True,0.296875,0.171875,1.921875,9.0,8.328125,647.0,solved_or_feasible,optimal,easy_or_medium,0.04804110527038574,6.853441953659058,2.188180923461914,0.0009012202573093258,0.7139938691411103,0.7133504034026457,1644,369,1610,0.9333333333333333,0.09286199999999997,0.6211318691411105,0.7139938691411105,0.0030577048390218902,0.0022220091324350174,0.0022511999999999996,0.0,0.0,0.7139938691411105,1.2,1.2,1.2,0.0,0.0077724847349909245,0.0077724847349909245,0.009326981681989109,0.0026532,0.0026531999999999997,8.673617379884035e-19,0.006673781681989109,0.0,0.0,0.999145837719499,0.7488101939194064,1.0,0.8125,0.9987249838187358,0.798229259415307,0.9996331615046716,0.7961600083063565,0,180,0.001
0,50002,0.8,1.4,0.75,0.25,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,64,154.0,0.8020833333333334,2.533333333333333,True,True,0.21875,0.15625,1.9375,8.0,8.015625,606.0,solved_or_feasible,optimal,optimization_hard_runtime,0.02337503433227539,42.655515909194946,2.750256061553955,0.0009603819620045502,0.5683349218324821,0.567789103225177,1610,369,1576,0.95,0.09286069639148009,0.47547422544100193,0.568334921832482,0.0031976430702392814,0.001817485945222016,0.0022511999999999996,0.0,0.0,0.568334921832482,1.2,1.2,1.2,0.0,0.0066988271421223305,0.0066988271421223305,0.008038592570546794,0.0026532,0.0026531627540422884,3.724595771202859e-08,0.0053852078284138405,0.0,0.0,1.0002098426133206,0.6590602672183158,1.0,0.796875,0.9982549470466549,0.7896806848616489,0.9998825123575221,0.7857903454230124,0,180,0.001
0,50003,0.8,1.4,0.75,0.25,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,62,154.0,0.8020833333333334,2.466666666666667,True,True,0.25806451612903225,0.24193548387096775,1.8225806451612903,9.0,8.516129032258064,698.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.023331165313720703,6.696462869644165,0.13055205345153809,0.0008278031363616119,0.6862322213795863,0.6856641561944559,1604,367,1570,0.9666666666666667,0.09286200000000001,0.5933702213795861,0.6862322213795861,0.003089110092191623,0.002198929074868261,0.0022511999999999996,0.0,0.0,0.6862322213795861,1.2,1.2,1.2,0.0,0.007550462891317551,0.007550462891317551,0.00906055546958106,0.0026532,0.0026532,1.0842021724855044e-19,0.006407355469581057,0.0,0.0,1.002336734778659,0.7038079067090479,1.0,0.79296875,0.9978893964063444,0.7723910698344021,0.9992936359581547,0.7795515736634502,0,180,0.001
1,51001,0.8,1.4,0.75,0.25,0.5,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,60,151.0,0.7864583333333334,2.4833333333333334,False,True,0.11666666666666667,0.23333333333333334,2.0166666666666666,9.0,8.683333333333334,687.0,solved_or_feasible,optimal,optimization_hard_runtime,0.02435016632080078,21.143022060394287,3.618824005126953,0.0004987562124418766,0.7253995714076439,0.7250377738649016,1728,365,1694,1.0,0.092862,0.6325375714076438,0.7253995714076438,0.003158701243453594,0.0022144657878080337,0.0022511999999999996,0.0,0.0,0.7253995714076438,1.2,1.2,1.2,0.0,0.007978578948873754,0.007978578948873754,0.009574294738648504,0.0026532,0.0026531999999999997,4.607859233063394e-19,0.006921094738648504,0.0,0.0,1.0005807916155052,0.7433641288017501,1.0,0.79296875,0.999090478207807,0.775206145024886,0.9995959206376148,0.7843354922119812,1,180,0.001
1,51002,0.8,1.4,0.75,0.25,0.5,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,55,155.0,0.8072916666666666,2.533333333333333,True,True,0.23636363636363636,0.32727272727272727,2.0727272727272728,9.0,8.054545454545455,619.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.024932146072387695,5.952009916305542,0.13207006454467773,0.0009937557993542332,0.6411573984584868,0.6405202445754699,1412,360,1378,0.9833333333333333,0.092862,0.5482953984584871,0.6411573984584871,0.0031987458102559017,0.001839343262187001,0.0022511999999999996,0.0,0.0,0.6411573984584871,1.2,1.2,1.2,0.0,0.00737255296049885,0.00737255296049885,0.008847063552598618,0.0026532,0.0026531999999999997,5.692061405548898e-19,0.006193788608792315,0.0,0.0,1.0004996253753577,0.6789971218331968,1.0,0.7890625,0.9953979196513256,0.7529276756419285,0.9959655268644306,0.7619272386869149,1,180,0.001
1,51003,0.8,1.4,0.75,0.25,0.5,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,59,156.0,0.8125,2.6,True,True,0.1694915254237288,0.3220338983050847,1.9491525423728813,8.0,8.35593220338983,711.0,solved_or_feasible,optimal,optimization_hard_runtime,0.023825883865356445,157.8842420578003,0.41130900382995605,0.0009986075556827412,0.7436781335918834,0.7429354909886825,1558,364,1524,0.95,0.092862,0.6508161335918833,0.7436781335918833,0.003176320253784321,0.002240159107636607,0.0022511999999999996,0.0,0.0,0.7436781335918833,1.2,1.2,1.2,0.0,0.00813287256683265,0.00813287256683265,0.00975944708019918,0.0026532,0.0026531999999999997,5.421010862427522e-19,0.007106168175178626,0.0,0.0,0.9970368048292771,0.7427854953914397,1.0,0.8046875,0.9998267101278996,0.8016500044299896,0.9995809206967451,0.7916523965755171,1,180,0.001
2,52001,0.8,1.4,0.75,0.5,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,66,154.0,0.8020833333333334,2.55,True,True,0.3939393939393939,0.13636363636363635,2.015151515151515,8.0,7.96969696969697,601.0,solved_or_feasible,time_limit,optimization_hard_gap,0.02480792999267578,180.02644991874695,0.34594082832336426,0.002154646242742916,0.7026922470854866,0.7011781938754993,1464,371,1430,0.9333333333333333,0.09286200000000001,0.6098302470854864,0.7026922470854864,0.00315761441904395,0.0022156358008204808,0.0022511999999999996,0.0,0.0,0.7026922470854864,1.2,1.2,1.2,0.0,0.00769986462288059,0.00769986462288059,0.009239837547456706,0.0026532,0.0026532,2.168404344971009e-19,0.006586572100722905,0.0,0.0,1.0002251524919736,0.747321248673826,1.0,0.80078125,0.9955208861310004,0.795096906002728,0.9990636665870075,0.7963750501533522,2,180,0.001
2,52002,0.8,1.4,0.75,0.5,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,69,152.0,0.7916666666666666,2.4166666666666665,False,True,0.30434782608695654,0.10144927536231885,1.855072463768116,8.0,8.08695652173913,625.0,solved_or_feasible,time_limit,optimization_hard_gap,0.023794889450073242,180.0166049003601,0.5809071063995361,0.020466689962748093,0.8227122504382731,0.8058740538799982,1735,374,1701,0.7833333333333333,0.092862,0.7184647420603585,0.8113267420603585,0.003175671687674716,0.002266255071530953,0.0022511999999999996,1.5055071530953399e-05,0.01204405722476272,0.8233707992851212,1.2,1.2,1.2,0.0,0.008645412813313833,0.008645412813313833,0.010374495375976598,0.0026532,0.0026531999999999997,5.963111948670274e-19,0.0077212953759765975,0.0,0.0,0.9969947078096283,0.8134467087954096,1.0,0.82421875,0.9962979364576368,0.8105007223593348,0.999381271015524,0.7972189208587337,2,180,0.001
2,52003,0.8,1.4,0.75,0.5,0.3,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,68,154.0,0.8020833333333334,2.5,True,True,0.38235294117647056,0.19117647058823528,1.7941176470588236,8.0,8.088235294117647,672.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.02321314811706543,9.342152833938599,0.17924189567565918,0.0009413420904076429,0.7696259575188384,0.7689014762111557,1556,373,1522,0.9333333333333333,0.09286200000000001,0.6767639575188382,0.7696259575188382,0.0031471476834991773,0.002252196038290211,0.0022511999999999996,9.960382902113492e-07,0.0007968306321690793,0.7704227881510073,1.2,1.2,1.2,0.0,0.008185168485322254,0.008185168485322254,0.009822202182386705,0.0026532,0.0026532,1.6263032587282567e-19,0.0071690021823866985,0.0,0.0,1.001595795930794,0.7992290761065384,1.0,0.8203125,0.9998026218955781,0.8060365186600741,0.9987074866592082,0.7918785883203352,2,180,0.001
3,53001,0.8,1.4,0.75,0.5,0.5,4,10,5,5,90,1.5,0.7,8.0,48.0,0.2,0.2,0.1,60,154.0,0.8020833333333334,2.566666666666667,True,True,0.3,0.21666666666666667,1.9333333333333333,8.0,8.1,622.0,solved_or_feasible,optimal,proof_harder_than_feasibility,0.022289276123046875,3.530888080596924,0.1717519760131836,0.0009494534243347526,0.6511056954159496,0.6504875008838331,1421,365,1387,0.9333333333333333,0.09286200000000003,0.5582436954159496,0.6511056954159496,0.003159713506198244,0.002184310918082809,0.0022511999999999996,0.0,0.0,0.6511056954159496,1.2,1.2,1.2,0.0,0.007352222401869765,0.007352222401869765,0.008822666882243719,0.0026532,0.0026532,0.0,0.006169466882243717,0.0,0.0,0.999785765469257,0.6973433879020535,1.0,0.796875,0.9997313924761189,0.7887606755518066,0.9964899987359027,0.7881584641009374,3,180,0.001
