target_gpu_utilization,cheap_block_pressure,restricted_gpu_share,multi_gpu_share,runs,solved_runs,median_num_jobs,median_assignment_vars,median_runtime_s,p90_runtime_s,max_runtime_s,median_mip_gap,max_mip_gap,median_first_solution_s,median_global_gpu_utilization,median_cheap_pressure,target_hit_rate,cheap_pressure_hit_rate,median_cheap_block_gpu_utilization,solve_rate
0.8,1.4,0.25,0.3,3,3,64.0,1576.0,6.853441953659058,35.49510111808777,42.655515909194946,0.0009012202573093258,0.0009603819620045502,2.188180923461914,0.8020833333333334,2.466666666666667,0.6666666666666666,1.0,0.95,1.0
0.8,1.4,0.25,0.5,3,3,59.0,1524.0,21.143022060394287,130.5359980583191,157.8842420578003,0.0009937557993542332,0.0009986075556827412,0.41130900382995605,0.8072916666666666,2.533333333333333,0.6666666666666666,1.0,0.9833333333333333,1.0
0.8,1.4,0.5,0.3,3,3,68.0,1522.0,180.0166049003601,180.02448091506957,180.02644991874695,0.002154646242742916,0.020466689962748093,0.34594082832336426,0.8020833333333334,2.5,0.6666666666666666,1.0,0.9333333333333333,1.0
0.8,1.4,0.5,0.5,3,3,50.0,854.0,1.6966969966888428,3.1640498638153076,3.530888080596924,0.0009096765928751931,0.0009494534243347526,0.1717519760131836,0.8020833333333334,2.5166666666666666,1.0,1.0,0.9333333333333333,1.0
0.8,1.7,0.25,0.3,3,3,62.0,1591.0,14.919548034667969,21.529456901550294,23.181934118270874,0.000958346814657663,0.0009895069557120792,0.5345299243927002,0.8020833333333334,2.55,1.0,1.0,0.95,1.0
0.8,1.7,0.25,0.5,3,3,63.0,1558.0,13.76625108718872,61.8800950050354,73.90855598449707,0.0009221587761967825,0.0009331003418209397,0.21039986610412598,0.8020833333333334,2.5166666666666666,1.0,1.0,1.0,1.0
0.8,1.7,0.5,0.3,3,3,64.0,1466.0,14.380300045013428,146.89024877548218,180.01773595809937,0.0009869893751941403,0.0027852905916406264,0.29372119903564453,0.8020833333333334,2.5,1.0,1.0,1.0,1.0
0.8,1.7,0.5,0.5,3,3,52.0,1031.0,3.3002331256866455,85.11929059028625,105.57405495643616,0.0,0.0008493166254686927,0.1562800407409668,0.8020833333333334,2.55,1.0,1.0,0.9333333333333333,1.0
0.8,2.0,0.25,0.3,3,3,66.0,1900.0,44.2909049987793,152.871252822876,180.01633977890015,0.0008148021896376537,0.00837520813509711,0.8409481048583984,0.8020833333333334,2.5166666666666666,1.0,1.0,0.9666666666666667,1.0
0.8,2.0,0.25,0.5,3,3,63.0,1770.0,8.574387073516846,16.635700511932374,18.651028871536255,0.0009795260653249508,0.000998004386842472,0.2020268440246582,0.8020833333333334,2.533333333333333,1.0,1.0,0.9,1.0
