job_id,assigned_cluster,start_hour,end_hour,start_slot,end_slot,duration,duration_h,power,gpus,gpu_count_required,gpu_type_required,cpu_required,memory_required_gb,slot_minutes
synthetic_00001,cluster_a10,76,77,76,77,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00002,cluster_p100,13,20,13,20,7,1.75,0.00025,1,1,,11.908,46.0,15
synthetic_00003,cluster_a10,67,74,67,74,7,1.75,0.00015,1,1,,4.0,29.8017578125,15
synthetic_00004,cluster_g2,49,50,49,50,1,0.25,0.00035,1,1,,18.708,63.0,15
synthetic_00005,cluster_t4,13,14,13,14,1,0.25,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00006,cluster_g2,48,50,48,50,2,0.5,0.00035,1,1,G2,18.708,63.0,15
synthetic_00007,cluster_v100m32,12,16,12,16,4,1.0,0.00025,1,1,,8.0,29.8017578125,15
synthetic_00008,cluster_v100m32,32,38,32,38,6,1.5,0.00025,1,1,,4.0,14.900390625,15
synthetic_00009,cluster_v100m16,85,86,85,86,1,0.25,0.00025,1,1,,18.708,63.0,15
synthetic_00010,cluster_t4,25,29,25,29,4,1.0,7e-05,1,1,,18.708,63.0,15
