job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,12,2
job_001,cluster_v100m32,3,3
job_002,cluster_g2,9,2
job_003,cluster_v100m32,10,4
job_004,cluster_p100,13,3
job_005,cluster_g2,9,3
job_006,cluster_v100m32,0,2
job_007,cluster_p100,0,1
job_008,cluster_v100m32,3,3
job_009,cluster_t4,1,4
job_010,cluster_v100m32,8,2
job_011,cluster_t4,1,4
job_012,cluster_g2,1,1
job_013,cluster_p100,8,1
job_014,cluster_g2,3,4
job_015,cluster_v100m32,14,2
job_016,cluster_p100,10,3
job_017,cluster_p100,1,3
job_018,cluster_g2,1,3
job_019,cluster_p100,5,3
job_020,cluster_g2,7,4
job_021,cluster_t4,11,3
job_022,cluster_g2,7,2
job_023,cluster_g2,11,1
job_024,cluster_t4,8,2
job_025,cluster_g2,4,3
job_026,cluster_v100m32,6,2
job_027,cluster_g2,0,2
job_028,cluster_t4,5,1
job_029,cluster_t4,12,2
job_030,cluster_p100,13,3
job_031,cluster_g2,14,2
job_032,cluster_t4,14,2
job_033,cluster_g2,0,1
job_034,cluster_t4,1,4
job_035,cluster_t4,0,1
job_036,cluster_t4,5,3
job_037,cluster_t4,10,1
job_038,cluster_p100,3,2
job_039,cluster_g2,2,1
job_040,cluster_v100m32,15,1
job_041,cluster_p100,4,1
job_042,cluster_v100m32,2,1
job_043,cluster_t4,1,3
job_044,cluster_t4,6,2
job_045,cluster_p100,9,1
job_046,cluster_p100,0,3
