job_id,hidden_cluster,hidden_start,duration
job_000,cluster_t4,5,1
job_001,cluster_g2,6,1
job_002,cluster_t4,6,2
job_003,cluster_g2,9,2
job_004,cluster_t4,11,4
job_005,cluster_g2,1,3
job_006,cluster_t4,7,1
job_007,cluster_p100,11,2
job_008,cluster_v100m32,6,3
job_009,cluster_g2,4,2
job_010,cluster_g2,6,2
job_011,cluster_t4,1,3
job_012,cluster_t4,9,2
job_013,cluster_v100m32,3,2
job_014,cluster_g2,13,2
job_015,cluster_v100m32,10,4
job_016,cluster_g2,11,2
job_017,cluster_g2,7,1
job_018,cluster_g2,13,1
job_019,cluster_v100m32,0,3
job_020,cluster_p100,6,2
job_021,cluster_p100,0,4
job_022,cluster_p100,14,2
job_023,cluster_v100m32,14,2
job_024,cluster_g2,7,4
job_025,cluster_t4,2,3
job_026,cluster_p100,8,2
job_027,cluster_t4,8,3
job_028,cluster_v100m32,9,2
job_029,cluster_g2,8,3
job_030,cluster_v100m32,5,1
job_031,cluster_v100m32,11,3
job_032,cluster_p100,13,3
job_033,cluster_g2,6,3
job_034,cluster_g2,15,1
job_035,cluster_p100,4,2
job_036,cluster_g2,4,3
job_037,cluster_p100,10,1
job_038,cluster_t4,0,1
job_039,cluster_p100,6,2
job_040,cluster_g2,0,1
job_041,cluster_v100m32,2,2
job_042,cluster_g2,14,1
job_043,cluster_p100,13,1
job_044,cluster_g2,14,1
job_045,cluster_t4,15,1
job_046,cluster_t4,0,2
job_047,cluster_t4,7,3
job_048,cluster_t4,0,2
job_049,cluster_g2,8,1
job_050,cluster_v100m32,9,1
job_051,cluster_t4,6,1
job_052,cluster_g2,5,1
job_053,cluster_p100,10,1
job_054,cluster_p100,11,2
job_055,cluster_v100m32,14,2
job_056,cluster_p100,0,4
job_057,cluster_v100m32,5,2
job_058,cluster_t4,4,1
job_059,cluster_v100m32,0,2
