job_id,hidden_cluster,hidden_start,duration
job_000,cluster_p100,10,3
job_001,cluster_g2,5,1
job_002,cluster_g2,7,3
job_003,cluster_t4,8,4
job_004,cluster_g2,9,4
job_005,cluster_g2,1,1
job_006,cluster_v100m32,2,1
job_007,cluster_g2,11,2
job_008,cluster_g2,8,1
job_009,cluster_v100m32,5,3
job_010,cluster_t4,9,2
job_011,cluster_p100,3,2
job_012,cluster_p100,13,1
job_013,cluster_g2,3,3
job_014,cluster_p100,5,3
job_015,cluster_g2,13,3
job_016,cluster_p100,14,2
job_017,cluster_t4,12,3
job_018,cluster_v100m32,0,2
job_019,cluster_t4,6,2
job_020,cluster_v100m32,10,3
job_021,cluster_p100,10,3
job_022,cluster_v100m32,13,3
job_023,cluster_p100,13,1
job_024,cluster_t4,7,1
job_025,cluster_p100,1,2
job_026,cluster_g2,2,3
job_027,cluster_t4,2,2
job_028,cluster_g2,13,3
job_029,cluster_t4,0,1
job_030,cluster_v100m32,8,2
job_031,cluster_v100m32,5,2
job_032,cluster_g2,0,1
job_033,cluster_g2,6,2
job_034,cluster_g2,13,3
job_035,cluster_v100m32,3,2
job_036,cluster_p100,8,1
job_037,cluster_g2,6,2
job_038,cluster_g2,2,1
job_039,cluster_t4,12,2
job_040,cluster_t4,4,2
job_041,cluster_g2,6,1
job_042,cluster_p100,0,1
job_043,cluster_t4,6,4
job_044,cluster_t4,14,2
job_045,cluster_p100,0,2
job_046,cluster_p100,9,1
job_047,cluster_p100,9,1
job_048,cluster_v100m32,13,1
job_049,cluster_t4,10,3
job_050,cluster_t4,1,1
job_051,cluster_g2,0,1
job_052,cluster_g2,10,1
job_053,cluster_p100,14,2
job_054,cluster_v100m32,7,1
job_055,cluster_t4,6,3
job_056,cluster_v100m32,10,3
job_057,cluster_g2,12,1
job_058,cluster_g2,6,2
job_059,cluster_p100,2,1
