job_id,assigned_cluster,start_hour,end_hour,start_slot,end_slot,duration,duration_h,power,gpus,gpu_count_required,gpu_type_required,cpu_required,memory_required_gb,slot_minutes
synthetic_00001,cluster_a10,76,77,76,77,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00002,cluster_p100,13,20,13,20,7,1.75,0.00025,1,1,,11.908,46.0,15
synthetic_00003,cluster_a10,67,74,67,74,7,1.75,0.00015,1,1,,4.0,29.8017578125,15
synthetic_00004,cluster_g2,49,50,49,50,1,0.25,0.00035,1,1,,18.708,63.0,15
synthetic_00005,cluster_t4,13,14,13,14,1,0.25,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00006,cluster_g2,48,50,48,50,2,0.5,0.00035,1,1,G2,18.708,63.0,15
synthetic_00007,cluster_v100m32,12,16,12,16,4,1.0,0.00025,1,1,,8.0,29.8017578125,15
synthetic_00008,cluster_v100m32,32,38,32,38,6,1.5,0.00025,1,1,,4.0,14.900390625,15
synthetic_00009,cluster_v100m16,85,86,85,86,1,0.25,0.00025,1,1,,18.708,63.0,15
synthetic_00010,cluster_t4,25,29,25,29,4,1.0,7e-05,1,1,,18.708,63.0,15
synthetic_00011,cluster_t4,41,42,41,42,1,0.25,7e-05,1,1,T4,1.0,2.0,15
synthetic_00012,cluster_t4,19,21,19,21,2,0.5,7e-05,1,1,T4,9.81,40.5859375,15
synthetic_00013,cluster_a10,16,17,16,17,1,0.25,0.00015,1,1,,3.152,5.46875,15
synthetic_00014,cluster_g3,84,88,84,88,4,1.0,0.00035,1,1,,11.908,46.0,15
synthetic_00015,cluster_a10,29,30,29,30,1,0.25,0.00015,1,1,,9.81,40.5859375,15
synthetic_00016,cluster_v100m16,66,67,66,67,1,0.25,0.00025,1,1,,3.152,5.46875,15
synthetic_00017,cluster_v100m16,7,8,7,8,1,0.25,0.00025,1,1,,4.0,29.8017578125,15
synthetic_00018,cluster_g3,8,9,8,9,1,0.25,0.00035,1,1,,11.4,47.0,15
synthetic_00019,cluster_t4,80,81,80,81,1,0.25,7e-05,1,1,T4,3.152,5.46875,15
synthetic_00020,cluster_v100m16,94,95,94,95,1,0.25,0.00025,1,1,,14.2,57.0,15
synthetic_00021,cluster_t4,82,84,82,84,2,0.5,7e-05,1,1,T4,14.2,57.0,15
synthetic_00022,cluster_g2,50,51,50,51,1,0.25,0.00035,1,1,G2,11.3,48.0,15
synthetic_00023,cluster_g3,28,29,28,29,1,0.25,0.00035,1,1,,18.708,63.0,15
synthetic_00024,cluster_t4,81,82,81,82,1,0.25,7e-05,1,1,T4,11.4,47.0,15
synthetic_00025,cluster_t4,24,26,24,26,2,0.5,7e-05,1,1,T4,3.152,5.46875,15
