job_id,category,workload_family,gpus,gpu_count_required,gpu_type_required,cpu_required,memory_required_gb,duration,duration_h,power_kw,e_kw,power,earliest_start,latest_start,slot_minutes,runtime_hours_sampled,source_trace_job
synthetic_00001,preprocessing,preprocessing,1,1,,3.152,5.46875,1,0.25,0.15,0.15,0.00015,71,82,15,0.079722,openb-pod-1081
synthetic_00002,preprocessing,preprocessing,1,1,,11.908,46.0,7,1.75,0.25,0.25,0.00025,8,15,15,1.585556,openb-pod-0237
synthetic_00003,preprocessing,preprocessing,1,1,,4.0,29.8017578125,7,1.75,0.15,0.15,0.00015,59,75,15,1.733611,openb-pod-4428
synthetic_00004,preprocessing,preprocessing,1,1,,18.708,63.0,1,0.25,0.35,0.35,0.00035,41,52,15,0.158333,openb-pod-3038
synthetic_00005,fine_tuning,fine_tuning,1,1,T4,3.152,5.46875,1,0.25,0.07,0.07,7e-05,10,19,15,0.008056,openb-pod-7084
synthetic_00006,fine_tuning,fine_tuning,1,1,G2,18.708,63.0,2,0.5,0.35,0.35,0.00035,41,53,15,0.4675,openb-pod-3709
synthetic_00007,preprocessing,preprocessing,1,1,,8.0,29.8017578125,4,1.0,0.25,0.25,0.00025,9,19,15,0.804167,openb-pod-8014
synthetic_00008,preprocessing,preprocessing,1,1,,4.0,14.900390625,6,1.5,0.25,0.25,0.00025,25,35,15,1.274722,openb-pod-3921
synthetic_00009,preprocessing,preprocessing,1,1,,18.708,63.0,1,0.25,0.25,0.25,0.00025,77,92,15,0.205833,openb-pod-4806
synthetic_00010,preprocessing,preprocessing,1,1,,18.708,63.0,4,1.0,0.07,0.07,7e-05,17,33,15,0.873056,openb-pod-3778
synthetic_00011,fine_tuning,fine_tuning,1,1,T4,1.0,2.0,1,0.25,0.07,0.07,7e-05,33,47,15,0.086944,openb-pod-2471
synthetic_00012,fine_tuning,fine_tuning,1,1,T4,9.81,40.5859375,2,0.5,0.07,0.07,7e-05,11,22,15,0.315556,openb-pod-0591
synthetic_00013,preprocessing,preprocessing,1,1,,3.152,5.46875,1,0.25,0.15,0.15,0.00015,13,23,15,0.088056,openb-pod-4956
synthetic_00014,preprocessing,preprocessing,1,1,,11.908,46.0,4,1.0,0.35,0.35,0.00035,77,88,15,0.781944,openb-pod-3791
synthetic_00015,preprocessing,preprocessing,1,1,,9.81,40.5859375,1,0.25,0.15,0.15,0.00015,26,31,15,0.023611,openb-pod-7389
synthetic_00016,preprocessing,preprocessing,1,1,,3.152,5.46875,1,0.25,0.25,0.25,0.00025,61,68,15,0.208611,openb-pod-3714
synthetic_00017,preprocessing,preprocessing,1,1,,4.0,29.8017578125,1,0.25,0.25,0.25,0.00025,1,15,15,0.015833,openb-pod-1540
synthetic_00018,preprocessing,preprocessing,1,1,,11.4,47.0,1,0.25,0.35,0.35,0.00035,3,10,15,0.2175,openb-pod-2589
synthetic_00019,fine_tuning,fine_tuning,1,1,T4,3.152,5.46875,1,0.25,0.07,0.07,7e-05,76,82,15,0.083611,openb-pod-0192
synthetic_00020,preprocessing,preprocessing,1,1,,14.2,57.0,1,0.25,0.25,0.25,0.00025,91,95,15,0.013056,openb-pod-5217
synthetic_00021,fine_tuning,fine_tuning,1,1,T4,14.2,57.0,2,0.5,0.07,0.07,7e-05,74,86,15,0.451944,openb-pod-4854
synthetic_00022,fine_tuning,fine_tuning,1,1,G2,11.3,48.0,1,0.25,0.35,0.35,0.00035,47,56,15,0.021944,openb-pod-6644
synthetic_00023,preprocessing,preprocessing,1,1,,18.708,63.0,1,0.25,0.35,0.35,0.00035,22,33,15,0.024722,openb-pod-0164
synthetic_00024,fine_tuning,fine_tuning,1,1,T4,11.4,47.0,1,0.25,0.07,0.07,7e-05,78,85,15,0.013889,openb-pod-2331
synthetic_00025,fine_tuning,fine_tuning,1,1,T4,3.152,5.46875,2,0.5,0.07,0.07,7e-05,20,32,15,0.310833,openb-pod-3864
