job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,6,2
job_001,cluster_g2,11,2
job_002,cluster_v100m32,3,2
job_003,cluster_p100,10,3
job_004,cluster_g2,0,2
job_005,cluster_v100m32,7,4
job_006,cluster_g2,13,2
job_007,cluster_v100m32,12,3
job_008,cluster_v100m32,15,1
job_009,cluster_v100m32,6,1
job_010,cluster_g2,0,1
job_011,cluster_t4,2,3
job_012,cluster_p100,4,2
job_013,cluster_g2,2,3
job_014,cluster_g2,8,3
job_015,cluster_t4,12,1
job_016,cluster_p100,13,1
job_017,cluster_t4,7,3
job_018,cluster_v100m32,0,3
job_019,cluster_t4,4,2
job_020,cluster_t4,2,2
job_021,cluster_g2,4,2
job_022,cluster_g2,13,3
job_023,cluster_g2,11,2
job_024,cluster_p100,6,4
job_025,cluster_t4,0,2
job_026,cluster_p100,0,3
job_027,cluster_g2,2,2
job_028,cluster_t4,6,2
job_029,cluster_g2,9,2
job_030,cluster_t4,14,2
job_031,cluster_t4,10,2
job_032,cluster_g2,6,3
job_033,cluster_p100,10,3
job_034,cluster_v100m32,5,1
job_035,cluster_t4,0,2
job_036,cluster_t4,6,2
job_037,cluster_p100,14,2
job_038,cluster_t4,8,2
job_039,cluster_t4,5,1
job_040,cluster_v100m32,15,1
job_041,cluster_g2,5,1
job_042,cluster_g2,0,2
job_043,cluster_t4,13,1
job_044,cluster_v100m32,11,1
job_045,cluster_p100,5,3
job_046,cluster_p100,3,1
job_047,cluster_t4,8,2
job_048,cluster_g2,15,1
job_049,cluster_v100m32,7,4
job_050,cluster_t4,13,1
job_051,cluster_p100,8,2
