job_id,hidden_cluster,hidden_start,duration
job_000,cluster_v100m32,11,3
job_001,cluster_g2,12,4
job_002,cluster_p100,6,4
job_003,cluster_v100m32,14,1
job_004,cluster_t4,15,1
job_005,cluster_g2,4,2
job_006,cluster_t4,14,2
job_007,cluster_g2,7,3
job_008,cluster_g2,13,2
job_009,cluster_t4,7,1
job_010,cluster_v100m32,2,3
job_011,cluster_v100m32,5,2
job_012,cluster_v100m32,0,2
job_013,cluster_g2,8,2
job_014,cluster_t4,8,2
job_015,cluster_t4,11,2
job_016,cluster_t4,2,1
job_017,cluster_t4,3,2
job_018,cluster_p100,1,3
job_019,cluster_g2,0,3
job_020,cluster_t4,9,2
job_021,cluster_g2,10,2
job_022,cluster_v100m32,1,2
job_023,cluster_g2,10,3
job_024,cluster_t4,5,2
job_025,cluster_p100,12,4
job_026,cluster_t4,11,3
job_027,cluster_g2,4,3
job_028,cluster_g2,6,2
job_029,cluster_t4,9,4
job_030,cluster_p100,10,3
job_031,cluster_t4,0,2
job_032,cluster_t4,6,1
job_033,cluster_p100,3,2
job_034,cluster_v100m32,8,1
job_035,cluster_t4,5,2
job_036,cluster_v100m32,3,2
job_037,cluster_v100m32,7,4
job_038,cluster_p100,14,2
job_039,cluster_t4,13,1
job_040,cluster_t4,0,3
job_041,cluster_t4,11,4
job_042,cluster_v100m32,15,1
job_043,cluster_p100,0,3
job_044,cluster_v100m32,9,2
job_045,cluster_g2,6,1
job_046,cluster_p100,5,1
job_047,cluster_g2,3,1
job_048,cluster_g2,3,1
job_049,cluster_g2,15,1
job_050,cluster_v100m32,11,3
job_051,cluster_p100,10,2
job_052,cluster_v100m32,5,3
job_053,cluster_t4,2,1
job_054,cluster_g2,3,1
job_055,cluster_g2,15,1
job_056,cluster_g2,3,1
job_057,cluster_g2,6,2
job_058,cluster_v100m32,15,1
job_059,cluster_g2,13,2
