job_id,hidden_cluster,hidden_start,duration
job_000,cluster_g2,3,2
job_001,cluster_p100,2,3
job_002,cluster_g2,10,1
job_003,cluster_t4,6,3
job_004,cluster_v100m32,5,3
job_005,cluster_t4,1,1
job_006,cluster_g2,2,4
job_007,cluster_v100m32,3,2
job_008,cluster_g2,12,3
job_009,cluster_g2,7,2
job_010,cluster_p100,12,1
job_011,cluster_t4,10,4
job_012,cluster_t4,7,2
job_013,cluster_g2,5,2
job_014,cluster_t4,5,2
job_015,cluster_t4,2,3
job_016,cluster_g2,12,3
job_017,cluster_p100,13,2
job_018,cluster_g2,15,1
job_019,cluster_v100m32,13,2
job_020,cluster_p100,11,1
job_021,cluster_t4,14,1
job_022,cluster_g2,5,1
job_023,cluster_g2,13,3
job_024,cluster_g2,0,3
job_025,cluster_v100m32,9,3
job_026,cluster_g2,10,2
job_027,cluster_p100,5,3
job_028,cluster_g2,10,2
job_029,cluster_v100m32,0,2
job_030,cluster_v100m32,9,2
job_031,cluster_g2,1,2
job_032,cluster_p100,8,2
job_033,cluster_g2,7,3
job_034,cluster_t4,0,1
job_035,cluster_g2,6,4
job_036,cluster_v100m32,14,2
job_037,cluster_v100m32,2,3
job_038,cluster_v100m32,12,1
job_039,cluster_p100,10,1
job_040,cluster_g2,0,2
job_041,cluster_p100,1,1
job_042,cluster_g2,11,2
job_043,cluster_g2,0,1
job_044,cluster_t4,15,1
job_045,cluster_g2,10,2
job_046,cluster_t4,15,1
job_047,cluster_p100,2,3
