hour,baseline_load,pue,flexible_load,it_load,total_load,facility_load,renewable_available,renewable_consumption,renewable_curtailment,grid_consumption,grid_price
0,0.0,1.2,0.001317531588097597,0.001317531588097597,0.001581037905717116,0.001581037905717116,0.0001608,0.0001608,0.0,0.001420237905717116,105.0
1,0.0,1.2,0.0017548176972269612,0.0017548176972269612,0.0021057812366723533,0.0021057812366723533,0.0001608,0.0001608,0.0,0.0019449812366723496,105.0
2,0.0,1.2,0.0018656795049917271,0.0018656795049917271,0.002238815405990073,0.002238815405990073,0.0001608,0.0001608,0.0,0.0020780154059900726,105.0
3,0.0,1.2,0.001781771039034933,0.001781771039034933,0.0021381252468419196,0.0021381252468419196,0.0001608,0.0001608,0.0,0.0019773252468419196,105.0
4,0.0,1.2,0.002010162533317003,0.002010162533317003,0.0024121950399804038,0.0024121950399804038,0.0001608,0.0001608,0.0,0.0022513950399804016,105.0
5,0.0,1.2,0.002653577288248924,0.002653577288248924,0.003184292745898709,0.003184292745898709,0.0017688000000000003,0.0017688000000000003,0.0,0.0014154927458987084,46.666666666666664
6,0.0,1.2,0.0026178710685794506,0.0026178710685794506,0.0031414452822953404,0.0031414452822953404,0.0017688000000000003,0.0017688000000000003,0.0,0.0013726452822953315,46.666666666666664
7,0.0,1.2,0.0024844967340740725,0.0024844967340740725,0.0029813960808888875,0.0029813960808888875,0.0017688000000000003,0.0017688000000000003,0.0,0.0012125960808888764,46.666666666666664
8,0.0,1.2,0.0025934470119685065,0.0025934470119685065,0.0031121364143622075,0.0031121364143622075,0.0017688000000000003,0.0017688000000000003,0.0,0.0013433364143622072,46.666666666666664
9,0.0,1.2,0.002644547086426235,0.002644547086426235,0.003173456503711481,0.003173456503711481,0.0017688000000000003,0.0017687999999999998,4.336808689942018e-19,0.001404656503711481,46.666666666666664
10,0.0,1.2,0.0017981260794238973,0.0017981260794238973,0.002157751295308677,0.002157751295308677,0.0001608,0.0001608,0.0,0.0019969512953086767,105.0
11,0.0,1.2,0.001958329813351873,0.001958329813351873,0.0023499957760222475,0.0023499957760222475,0.0001608,0.0001608,0.0,0.0021891957760222457,105.0
12,0.0,1.2,0.001968099519160401,0.001968099519160401,0.0023617194229924813,0.0023617194229924813,0.0001608,0.0001608,0.0,0.0022009194229924796,105.0
13,0.0,1.2,0.0018777972922005774,0.0018777972922005774,0.002253356750640693,0.002253356750640693,0.0001608,0.0001608,0.0,0.0020925567506406926,105.0
14,0.0,1.2,0.0012186579461748012,0.0012186579461748012,0.0014623895354097614,0.0014623895354097614,0.0001608,0.0001607999999999998,2.168404344971009e-19,0.0013015895354097616,105.0
15,0.0,1.2,0.0009041414980167585,0.0009041414980167585,0.0010849697976201102,0.0010849697976201102,0.0001608,0.0001608,0.0,0.0009241697976201101,105.0
